Date,Volume,CloseUSD,currency US Dollar Index,currency Gold Futures,BTC/USD,Gold/BTC Ratio,onchain Active Addresses,onchain Transaction Count,onchain Mempool Size,onchain Hash Rate (GH/s),onchain Mining Difficulty,onchain Transaction Fees (BTC),onchain Median Confirmation Time (min)
2012-01-02,2177430600.0,8863.706950571695,79.61000061035156,1599.699951171875,5.313879781420765,301.0418031595298,9542.0,5410.0,22589818.0,8.87970284099127,1159929.49722438,5.55312158,13.6166666666667
2012-01-03,1233354354.5454545,4995.275786346435,79.61000061035156,1599.699951171875,5.313879781420765,301.0418031595298,9542.0,5410.0,22589818.0,8.87970284099127,1159929.49722438,5.55312158,13.6166666666667
2012-01-04,1020580469.2307692,4909.950176785669,80.08999633789062,1611.9000244140625,5.335819672131147,302.0904234888177,9542.0,5410.0,22589818.0,8.87970284099127,1159929.49722438,5.55312158,13.6166666666667
2012-01-05,1084943479.4871793,4900.171513041805,80.94000244140625,1619.4000244140625,5.3577595628415295,302.2532096522825,9542.0,5410.0,22589818.0,8.87970284099127,1159929.49722438,5.55312158,13.6166666666667
2012-01-06,1043957374.3589745,4890.241176617432,81.23999786376953,1616.0999755859375,5.379699453551912,300.4071118729352,9542.0,6644.0,22589818.0,8.87970284099127,1159929.49722438,6.48923847,13.6166666666667
2012-01-08,1043957374.3589745,4890.241176617432,81.23999786376953,1616.0999755859375,5.379699453551912,300.4071118729352,10661.0,6644.0,22589818.0,9.28332569739997,1159929.49722438,6.48923847,14.0166666666667
2012-01-09,1097443075.7575758,5311.002127096927,81.05000305175781,1607.5,5.44551912568306,295.19683301054664,10661.0,6644.0,22589818.0,9.28332569739997,1159929.49722438,6.48923847,14.0166666666667
2012-01-10,1159685964.102564,4973.320994008225,80.80000305175781,1631.0,5.467459016393442,298.3104208206528,10661.0,6677.0,22589818.0,9.28332569739997,1159929.49722438,4.89613037,14.0166666666667
2012-01-11,1132914092.3076923,4966.221664793982,81.3499984741211,1639.199951171875,5.4893989071038245,298.61192070603363,10661.0,6677.0,22589818.0,9.28332569739997,1159929.49722438,4.89613037,14.0166666666667
2012-01-12,1123178889.74359,4969.1420283092,80.7699966430664,1647.300048828125,5.511338797814207,298.89290229833864,10691.0,6677.0,22589818.0,10.3211337404744,1250757.73927466,4.89613037,13.3333333333333
