Date,AVG Open,AVG High,AVG Low,AVG Close,AVG Adj Close,AVG Volume,AVG CloseUSD,currency US Dollar Index,currency Gold Futures,BTC/USD,Gold/BTC Ratio,mining Mining Difficulty,onchain Active Addresses,onchain Transaction Count,onchain Mempool Size,onchain Hash Rate (GH/s),onchain Mining Difficulty,onchain Transaction Fees (BTC),onchain Median Confirmation Time (min)
2012-01-02,9180.0068359375,9316.38671875,9148.559814453123,9310.026489257812,3950.9450073242183,2177430600.0,8863.706950571695,79.61000061035156,1599.699951171875,5.313879781420765,301.0418031595298,1159929.49722438,9542.0,5410.0,22589818.0,8.87970284099127,1159929.49722438,5.55312158,13.6166666666667
2012-01-03,7804.951552168263,7889.821925466595,7774.403478659741,7878.601889870383,6787.681829833984,1233354354.5454545,4995.275786346435,79.61000061035156,1599.699951171875,5.313879781420765,301.0418031595298,1159929.49722438,9542.0,5410.0,22589818.0,8.87970284099127,1159929.49722438,5.55312158,13.6166666666667
2012-01-04,8023.003609767352,8054.994883365594,7950.8487056614995,7994.663899739583,7886.992589314779,1020580469.2307692,4909.950176785669,80.08999633789062,1611.9000244140625,5.335819672131147,302.0904234888177,1159929.49722438,9542.0,5410.0,22589818.0,8.87970284099127,1159929.49722438,5.55312158,13.6166666666667
2012-01-05,7974.622157810635,8016.51941302358,7928.04516268566,7989.2742919921875,7836.250762939453,1084943479.4871793,4900.171513041805,80.94000244140625,1619.4000244140625,5.3577595628415295,302.2532096522825,1159929.49722438,9542.0,5410.0,22589818.0,8.87970284099127,1159929.49722438,5.55312158,13.6166666666667
2012-01-06,7972.204053600764,8003.952661654985,7892.410391232518,7954.4008225661055,7834.587885538736,1043957374.3589745,4890.241176617432,81.23999786376953,1616.0999755859375,5.379699453551912,300.4071118729352,1159929.49722438,9542.0,6644.0,22589818.0,8.87970284099127,1159929.49722438,6.48923847,13.6166666666667
2012-01-08,7972.204053600764,8003.952661654985,7892.410391232518,7954.4008225661055,7834.587885538736,1043957374.3589745,4890.241176617432,81.23999786376953,1616.0999755859375,5.379699453551912,300.4071118729352,1159929.49722438,10661.0,6644.0,22589818.0,9.28332569739997,1159929.49722438,6.48923847,14.0166666666667
2012-01-09,7892.7842476484175,7967.529697834462,7827.4844072545775,7952.009810014205,7951.496937144886,1097443075.7575758,5311.002127096927,81.05000305175781,1607.5,5.44551912568306,295.19683301054664,1159929.49722438,10661.0,6644.0,22589818.0,9.28332569739997,1159929.49722438,6.48923847,14.0166666666667
2012-01-10,8012.125606624074,8102.285741299906,7982.788970634537,8080.430828387921,8225.87958017985,1159685964.102564,4973.320994008225,80.80000305175781,1631.0,5.467459016393442,298.3104208206528,1159929.49722438,10661.0,6677.0,22589818.0,9.28332569739997,1159929.49722438,4.89613037,14.0166666666667
2012-01-11,8072.463042790971,8108.989533877679,8031.806157170087,8086.482694185697,8208.161682128906,1132914092.3076923,4966.221664793982,81.3499984741211,1639.199951171875,5.4893989071038245,298.61192070603363,1159929.49722438,10661.0,6677.0,22589818.0,9.28332569739997,1159929.49722438,4.89613037,14.0166666666667
2012-01-12,8066.7055720471235,8125.322610262534,8032.62741604215,8079.940126076723,8185.41071065267,1123178889.74359,4969.1420283092,80.7699966430664,1647.300048828125,5.511338797814207,298.89290229833864,1250757.73927466,10691.0,6677.0,22589818.0,10.3211337404744,1250757.73927466,4.89613037,13.3333333333333
2012-01-13,8088.03162373765,8122.345781040088,8003.283215363155,8074.082383375901,8097.240247090658,1108840802.5641024,4944.521306774433,81.43000030517578,1630.4000244140625,5.5332786885245895,294.6535166926135,1250757.73927466,10691.0,6677.0,22589818.0,10.3211337404744,1250757.73927466,4.89613037,13.3333333333333
2012-01-14,8088.03162373765,8122.345781040088,8003.283215363155,8074.082383375901,8097.240247090658,1108840802.5641024,4944.521306774433,81.43000030517578,1630.4000244140625,5.5332786885245895,294.6535166926135,1250757.73927466,10691.0,6807.0,22589818.0,10.3211337404744,1250757.73927466,12.78590354,13.3333333333333
2012-01-16,8646.22597905512,8698.36684376739,8595.467909881567,8654.02696089311,8171.990414428711,745005218.1818181,4989.674861734287,81.43000030517578,1630.4000244140625,5.5332786885245895,294.6535166926135,1250757.73927466,11532.0,6807.0,22589818.0,9.82372970478891,1250757.73927466,12.78590354,13.05
2012-01-17,8061.741703218317,8179.38252344501,8033.834207636231,8158.962547889123,8259.832064310709,1181502679.4871793,4993.426073363318,81.18000030517578,1655.199951171875,5.62103825136612,294.46516411262644,1250757.73927466,11532.0,6807.0,22589818.0,9.82372970478891,1250757.73927466,12.78590354,13.05
2012-01-18,8149.264609034342,8221.159560810476,8103.961245093535,8183.37715657552,8198.311976114908,1167992500.0,5006.238715719996,80.5999984741211,1659.5,5.642978142076502,294.0823016176592,1250757.73927466,11532.0,6647.0,22589818.0,9.82372970478891,1250757.73927466,10.84433779,13.05
2012-01-19,8269.084597388553,8343.365416076887,8244.913572276826,8329.24674617883,8333.361064564098,1365998234.8484848,5438.016317658118,80.20999908447266,1654.0999755859375,5.664918032786884,291.9900987114892,1250757.73927466,11532.0,6647.0,22589818.0,9.82372970478891,1250757.73927466,10.84433779,13.05
2012-01-20,8344.772339940073,8389.643803563553,8292.849088679,8368.083862304688,8437.462690873579,1256754520.4545453,5447.587885549418,80.22000122070312,1663.699951171875,5.686857923497268,292.551699647306,1250757.73927466,10999.0,6647.0,22589818.0,8.58021961557513,1250757.73927466,10.84433779,12.8666666666667
2012-01-22,8344.772339940073,8389.643803563553,8292.849088679,8368.083862304688,8437.462690873579,1256754520.4545453,5447.587885549418,80.22000122070312,1663.699951171875,5.686857923497268,292.551699647306,1250757.73927466,10999.0,5325.0,22589818.0,8.58021961557513,1250757.73927466,3.03810531,12.8666666666667
2012-01-23,7583.926445855035,7647.832919650607,7564.005445692274,7629.299594455295,6269.636322021484,1383499294.4444444,5897.361993478733,79.69000244140625,1678.0,5.752677595628415,291.6902559036419,1250757.73927466,10999.0,5325.0,22589818.0,8.58021961557513,1250757.73927466,3.03810531,12.8666666666667
2012-01-24,7594.683824327257,7643.495863172743,7553.597384982639,7623.4052734375,6263.23755645752,1371370744.4444444,5884.002063867188,79.86000061035156,1664.199951171875,5.774617486338798,288.19224045729914,1307728.36060407,11684.0,5325.0,22589818.0,8.77601647007213,1307728.36060407,3.03810531,12.85
2012-01-25,7060.83780585395,7123.194952392578,7018.425336371528,7105.89089219835,5819.627834743924,1347012818.8888888,5327.985794437121,79.56999969482422,1699.800048828125,5.79655737704918,293.2430300023067,1307728.36060407,11684.0,5325.0,22589818.0,8.77601647007213,1307728.36060407,3.03810531,12.85
2012-01-26,8619.865678575303,8666.793088107639,8564.417367214626,8634.214438205296,7518.146714952257,1573257970.0,5589.875089199559,79.41000366210938,1726.300048828125,5.818497267759563,296.69173489065577,1307728.36060407,11684.0,6598.0,22589818.0,8.77601647007213,1307728.36060407,8.95157979,12.85
2012-01-27,8310.103210449219,8366.641849032314,8277.953868519176,8331.58829012784,7283.443969726562,1316841245.4545455,5090.527830762274,78.9000015258789,1731.800048828125,5.840437158469945,296.51890806095327,1307728.36060407,11684.0,6598.0,22589818.0,8.77601647007213,1307728.36060407,8.95157979,12.85
2012-01-28,8310.103210449219,8366.641849032314,8277.953868519176,8331.58829012784,7283.443969726562,1316841245.4545455,5090.527830762274,78.9000015258789,1731.800048828125,5.840437158469945,296.51890806095327,1307728.36060407,10203.0,6598.0,22589818.0,10.076167058231,1307728.36060407,8.95157979,10.8833333333333
2012-01-30,8324.008131519598,8361.159352100334,8245.914152643723,8290.8694536258,8336.092320760092,1106521756.4102564,5033.732479056804,79.16000366210938,1731.0,5.906256830601093,293.07902613233165,1307728.36060407,10203.0,6153.0,22589818.0,10.076167058231,1307728.36060407,29.11896874,10.8833333333333
2012-01-31,8305.983234488092,8366.480830936409,8262.864014104263,8332.975639147637,8373.286061604818,1190484187.179487,5041.643477920924,79.27999877929688,1737.800048828125,5.928196721311475,293.1414274058836,1307728.36060407,10203.0,6153.0,22589818.0,10.076167058231,1307728.36060407,29.11896874,10.8833333333333
2012-02-01,8323.280685555876,8406.068777267019,8289.561751815767,8362.38678135016,8333.764470418295,1179896197.4358976,5069.634687586075,78.91999816894531,1747.0999755859375,5.950136612021858,293.62350640085094,1307728.36060407,11456.0,6153.0,22589818.0,8.77601647007213,1307728.36060407,29.11896874,17.0333333333333
