,xLSTM_TS_full_normalized,xLSTM_TS_random_forest_normalized,xLSTM_TS_boruta_normalized,xLSTM_TS_lasso_normalized,xLSTM_TS_singleSet_normalized,xLSTM_TS_full_denoised,xLSTM_TS_random_forest_denoised,xLSTM_TS_boruta_denoised,xLSTM_TS_lasso_denoised,xLSTM_TS_singleSet_denoised,random_forest_full_normalized,random_forest_random_forest_normalized,random_forest_boruta_normalized,random_forest_lasso_normalized,random_forest_singleSet_normalized,random_forest_full_denoised,random_forest_random_forest_denoised,random_forest_boruta_denoised,random_forest_lasso_denoised,random_forest_singleSet_denoised
Accuracy,0.5311871227364185,0.5070422535211268,0.41851106639839036,0.4869215291750503,0.4647887323943662,0.5211267605633803,0.5191146881287726,0.4969818913480885,0.5432595573440644,0.46277665995975853,0.562862669245648,0.5512572533849129,0.5319148936170213,0.5512572533849129,0.5009671179883946,0.5183752417794971,0.5493230174081238,0.5493230174081238,0.5299806576402321,0.5203094777562862
Recall,0.602112676056338,0.5140845070422535,0.1056338028169014,0.44014084507042256,0.5719844357976653,0.6964980544747081,0.6186770428015564,0.31906614785992216,0.7821011673151751,0.5669014084507042,0.5866666666666667,0.5666666666666667,0.5533333333333333,0.5566666666666666,0.46691176470588236,0.5551470588235294,0.6029411764705882,0.5772058823529411,0.5698529411764706,0.4866666666666667
Precision,0.5876288659793815,0.5770750988142292,0.46153846153846156,0.5656108597285068,0.48514851485148514,0.528023598820059,0.53,0.5222929936305732,0.5403225806451613,0.5278688524590164,0.6330935251798561,0.625,0.6058394160583942,0.6278195488721805,0.5291666666666667,0.5412186379928315,0.5674740484429066,0.5709090909090909,0.5516014234875445,0.6083333333333333
F1 Score,0.5947826086956521,0.5437616387337058,0.17191977077363896,0.49504950495049505,0.525,0.6006711409395973,0.5709156193895871,0.3961352657004831,0.6391096979332274,0.5466893039049237,0.6089965397923875,0.5944055944055944,0.578397212543554,0.5901060070671378,0.49609375,0.5480943738656987,0.5846702317290553,0.5740402193784278,0.5605786618444847,0.5407407407407407
MAE,0.11904337581308784,0.17621325421620485,0.2600276833008287,0.24909904183721632,0.10243163353900298,0.10473902019989835,0.1339217891495347,0.16048429060359515,0.09747180692512662,0.08495347748642157,0.1654451508637783,0.16327629276211048,0.16449759171345057,0.16906717449941827,0.08439132023937698,0.17334597446263386,0.16208399908909027,0.17216410255541884,0.17271738715219753,0.08490162606804033
RMSE,0.149328129601996,0.2260378837495856,0.3213099789848512,0.30042877394305884,0.1281970376382981,0.12475008934430787,0.15258324659121567,0.19208483688916586,0.11616070775361878,0.10958749152115436,0.20481252388227683,0.20055466037950598,0.20131226897919838,0.20797460164750295,0.13997472383001378,0.21309321096910447,0.2006584493588992,0.21072800907719821,0.21205978215206608,0.1407440830192214
MASE,24.902954512756903,36.862451390668376,54.39578242022746,52.109595058724175,15.54895257157817,15.899210050786419,20.32910611538877,24.36124990751522,14.796059094066171,17.771611155135624,35.87823474466503,35.40789880738768,35.672748216637956,36.66370239706672,13.253667990647271,27.22400818622305,25.455313466239907,27.03839504708422,27.12528846609039,18.411663650275194
RMSSE,16.451584708385266,24.902752091798405,35.39894560393739,33.098448608000886,11.212372328936143,10.910895255964656,13.345239511427597,16.80012853355422,10.159650560733535,12.07333075519634,23.011831145141144,22.533436396091812,22.61855795428446,23.367108245495675,12.482102856292903,19.00236917433912,17.893512023811322,18.791454714336147,18.910214216386887,15.813383926549585
Forecast_Day,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
