Price,Gold Futures,Bitcoin USD,US Dollar Index,Gold/BTC Ratio,BTC/Gold Ratio,Open,High,Low,Close,Volume,CloseUSD
,1599.699951171875,457.3340148925781,79.61000061035156,,,,,,,,
,1611.9000244140625,457.3340148925781,80.08999633789062,,,,,,,,
,1619.4000244140625,457.3340148925781,80.94000244140625,,,,,,,,
,1616.0999755859375,457.3340148925781,81.23999786376953,,,,,,,,
,1607.5,457.3340148925781,81.05000305175781,,,,,,,,
,1631.0,457.3340148925781,80.80000305175781,,,,,,,,
,1639.199951171875,457.3340148925781,81.3499984741211,,,,,,,,
,1647.300048828125,457.3340148925781,80.7699966430664,,,,,,,,
,1630.4000244140625,457.3340148925781,81.43000030517578,,,,,,,,
,1655.199951171875,457.3340148925781,81.18000030517578,,,,,,,,
,1659.5,457.3340148925781,80.5999984741211,,,,,,,,
,1654.0999755859375,457.3340148925781,80.20999908447266,,,,,,,,
,1663.699951171875,457.3340148925781,80.22000122070312,,,,,,,,
,1678.0,457.3340148925781,79.69000244140625,,,,,,,,
,1664.199951171875,457.3340148925781,79.86000061035156,,,,,,,,
,1699.800048828125,457.3340148925781,79.56999969482422,,,,,,,,
,1726.300048828125,457.3340148925781,79.41000366210938,,,,,,,,
,1731.800048828125,457.3340148925781,78.9000015258789,,,,,,,,
,1731.0,457.3340148925781,79.16000366210938,,,,,,,,
,1737.800048828125,457.3340148925781,79.27999877929688,,,,,,,,
,1747.0999755859375,457.3340148925781,78.91999816894531,,,,,,,,
,1756.800048828125,457.3340148925781,78.97000122070312,,,,,,,,
,1737.9000244140625,457.3340148925781,78.94000244140625,,,,,,,,
,1722.800048828125,457.3340148925781,79.08999633789062,,,,,,,,
,1746.4000244140625,457.3340148925781,78.56999969482422,,,,,,,,
,1729.300048828125,457.3340148925781,78.63999938964844,,,,,,,,
,1739.0,457.3340148925781,78.55999755859375,,,,,,,,
,1723.300048828125,457.3340148925781,79.11000061035156,,,,,,,,
,1723.0,457.3340148925781,78.94000244140625,,,,,,,,
,1715.9000244140625,457.3340148925781,79.58000183105469,,,,,,,,
,1726.300048828125,457.3340148925781,79.66999816894531,,,,,,,,
,1726.800048828125,457.3340148925781,79.33999633789062,,,,,,,,
,1724.5,457.3340148925781,79.33000183105469,,,,,,,,
,1757.0999755859375,457.3340148925781,79.04000091552734,,,,,,,,
,1770.0,457.3340148925781,79.20999908447266,,,,,,,,
,1784.9000244140625,457.3340148925781,78.80999755859375,,,,,,,,
,1775.0999755859375,457.3340148925781,78.3499984741211,,,,,,,,
,1773.5999755859375,457.3340148925781,78.55999755859375,,,,,,,,
,1787.0,457.3340148925781,78.2699966430664,,,,,,,,
,1709.9000244140625,457.3340148925781,78.7300033569336,,,,,,,,
,1721.0999755859375,457.3340148925781,78.77999877929688,,,,,,,,
,1708.800048828125,457.3340148925781,79.4000015258789,,,,,,,,
,1703.0,457.3340148925781,79.31999969482422,,,,,,,,
,1671.4000244140625,457.3340148925781,79.86000061035156,,,,,,,,
,1683.300048828125,457.3340148925781,79.70999908447266,,,,,,,,
,1698.0999755859375,457.3340148925781,79.16000366210938,,,,,,,,
,1710.9000244140625,457.3340148925781,80.04000091552734,,,,,,,,
,1699.199951171875,457.3340148925781,79.87000274658203,,,,,,,,
