# Data Source: Currency metrics data from Yahoo Finance and CoinGecko (US Dollar Index, Gold Futures, BTC/USD, Gold/BTC Ratio)
Date,US Dollar Index,Gold Futures,BTC/USD,Gold/BTC Ratio
2012-01-03,79.61000061035156,1599.699951171875,5.313879781420765,301.0418031595298
2012-01-04,80.08999633789062,1611.9000244140625,5.335819672131147,302.0904234888177
2012-01-05,80.94000244140625,1619.4000244140625,5.3577595628415295,302.2532096522825
2012-01-06,81.23999786376953,1616.0999755859375,5.379699453551912,300.40711187293516
2012-01-09,81.05000305175781,1607.5,5.4455191256830595,295.19683301054664
2012-01-10,80.80000305175781,1631.0,5.467459016393442,298.3104208206528
2012-01-11,81.3499984741211,1639.199951171875,5.4893989071038245,298.61192070603363
2012-01-12,80.7699966430664,1647.300048828125,5.511338797814207,298.89290229833864
2012-01-13,81.43000030517578,1630.4000244140625,5.5332786885245895,294.6535166926135
2012-01-17,81.18000030517578,1655.199951171875,5.6210382513661195,294.46516411262644
2012-01-18,80.5999984741211,1659.5,5.642978142076502,294.0823016176592
2012-01-19,80.20999908447266,1654.0999755859375,5.664918032786884,291.99009871148917
2012-01-20,80.22000122070312,1663.699951171875,5.686857923497268,292.551699647306
2012-01-23,79.69000244140625,1678.0,5.752677595628415,291.6902559036419
2012-01-24,79.86000061035156,1664.199951171875,5.774617486338798,288.19224045729914
2012-01-25,79.56999969482422,1699.800048828125,5.79655737704918,293.2430300023067
2012-01-26,79.41000366210938,1726.300048828125,5.818497267759563,296.69173489065577
2012-01-27,78.9000015258789,1731.800048828125,5.840437158469945,296.51890806095327
2012-01-30,79.16000366210938,1731.0,5.906256830601093,293.07902613233165
2012-01-31,79.27999877929688,1737.800048828125,5.928196721311475,293.1414274058836
2012-02-01,78.91999816894531,1747.0999755859375,5.950136612021858,293.62350640085094
2012-02-02,78.97000122070312,1756.800048828125,5.97207650273224,294.16904623113663
2012-02-03,78.94000244140625,1737.9000244140625,5.994016393442623,289.93915103657423
2012-02-06,79.08999633789062,1722.800048828125,6.05983606557377,284.2981279007592
2012-02-07,78.56999969482422,1746.4000244140625,6.081775956284153,287.15296929173286
2012-02-08,78.63999938964844,1729.300048828125,6.103715846994535,283.3192258908368
2012-02-09,78.55999755859375,1739.0,6.125655737704918,283.88797452263395
2012-02-10,79.11000061035156,1723.300048828125,6.1475956284153,280.3209828673051
2012-02-13,78.94000244140625,1723.0,6.213415300546448,277.30320872781004
2012-02-14,79.58000183105469,1715.9000244140625,6.23535519125683,275.1888179233294
2012-02-15,79.66999816894531,1726.300048828125,6.257295081967213,275.8859900667172
2012-02-16,79.33999633789062,1726.800048828125,6.279234972677595,275.00166124405786
2012-02-17,79.33000183105469,1724.5,6.301174863387978,273.67912133655364
2012-02-21,79.04000091552734,1757.0999755859375,6.388934426229508,275.0223837596823
2012-02-22,79.20999908447266,1770.0,6.410874316939891,276.0933864079987
2012-02-23,78.80999755859375,1784.9000244140625,6.432814207650273,277.46798940522126
2012-02-24,78.3499984741211,1775.0999755859375,6.454754098360656,275.00659955996895
2012-02-27,78.55999755859375,1773.5999755859375,6.5205737704918025,272.00059964234816
2012-02-28,78.2699966430664,1787.0,6.542513661202186,273.1366096485367
2012-02-29,78.7300033569336,1709.9000244140625,6.5644535519125675,260.4786538425395
2012-03-01,78.77999877929688,1721.0999755859375,6.586393442622951,261.3114431409567
2012-03-02,79.4000015258789,1708.800048828125,6.608333333333333,258.5826051190101
2012-03-05,79.31999969482422,1703.0,6.674153005464481,255.16346397897442
2012-03-06,79.86000061035156,1671.4000244140625,6.696092896174863,249.608249217816
2012-03-07,79.70999908447266,1683.300048828125,6.718032786885246,250.5644289373246
2012-03-08,79.16000366210938,1698.0999755859375,6.739972677595628,251.94463788118887
2012-03-09,80.04000091552734,1710.9000244140625,6.761912568306011,253.02013404214657
2012-03-12,79.87000274658203,1699.199951171875,6.827732240437158,248.86739715836902
2012-03-13,80.19000244140625,1693.699951171875,6.849672131147541,247.26730254286284
2012-03-14,80.55999755859375,1642.5,6.871612021857923,239.0268825968883
