,count,unique,top,freq,mean,std,min,25%,50%,75%,max,missing,missing_pct,dtype
Index,3365,1,N100,3365,,,,,,,,0,0.0,object
Open,3365.0,,,,1038.6299853116584,243.56240328367417,558.530029296875,854.3200073242188,1012.5,1240.800048828125,1603.5899658203125,0,0.0,float64
High,3365.0,,,,1044.3125434047931,244.54355296649913,567.4299926757812,860.6900024414062,1016.989990234375,1247.4300537109375,1608.8800048828125,0,0.0,float64
Low,3365.0,,,,1032.7163537398135,242.9462226146911,558.3300170898438,848.6199951171875,1006.4400024414062,1232.0400390625,1599.4200439453125,0,0.0,float64
Close,3365.0,,,,1038.7413958205157,243.74040171171387,562.6500244140625,853.97998046875,1012.8099975585938,1238.81005859375,1603.8199462890625,0,0.0,float64
Adj Close,3365.0,,,,1038.7413958205157,243.74040171171387,562.6500244140625,853.97998046875,1012.8099975585938,1238.81005859375,1603.8199462890625,0,0.0,float64
Volume,3365.0,,,,243647846.74591383,129408582.77327603,0.0,174714000.0,215627700.0,281506800.0,1159639000.0,0,0.0,float64
CloseUSD,0.0,,,,,,,,,,,3365,100.0,float64
