,count,unique,top,freq,mean,std,min,25%,50%,75%,max,missing,missing_pct,dtype
Index,3236,1,HSI,3236,,,,,,,,0,0.0,object
Open,3236.0,,,,23413.96441280709,3724.6034230454975,14830.6904296875,20599.13720703125,23213.689453125,26257.59912109375,33335.48046875,0,0.0,float64
High,3236.0,,,,23553.978255489994,3723.422768349892,15113.150390625,20751.5478515625,23318.375,26395.14794921875,33484.078125,0,0.0,float64
Low,3236.0,,,,23243.763951927533,3707.0661981609223,14597.3095703125,20427.47705078125,23069.1044921875,26039.26025390625,32897.0390625,0,0.0,float64
Close,3236.0,,,,23401.160974377606,3717.3164290169116,14687.01953125,20603.02197265625,23185.740234375,26218.296875,33154.12109375,0,0.0,float64
Adj Close,3236.0,,,,23401.160974377606,3717.3164290169116,14687.01953125,20603.02197265625,23185.740234375,26218.296875,33154.12109375,0,0.0,float64
Volume,3236.0,,,,2029608760.815822,855626461.0393229,0.0,1480241125.0,1828468550.0,2349992225.0,11257900000.0,0,0.0,float64
CloseUSD,3236.0,,,,23401.160974377606,3717.3164290169116,14687.01953125,20603.02197265625,23185.740234375,26218.296875,33154.12109375,0,0.0,float64
