Date,Index,Open,High,Low,Close,Adj Close,Volume,CloseUSD,Currency
2012-01-03,HSI,18770.640625,18886.119140625,18724.169921875,18877.41015625,18877.41015625,1247580300.0,18877.41015625,USD
2012-01-04,HSI,18970.599609375,18970.599609375,18687.939453125,18727.310546875,18727.310546875,1169241200.0,18727.310546875,USD
2012-01-05,HSI,18753.380859375,18821.08984375,18723.279296875,18813.41015625,18813.41015625,1035426900.0,18813.41015625,USD
2012-01-06,HSI,18784.859375,18784.859375,18506.580078125,18593.060546875,18593.060546875,1434068900.0,18593.060546875,USD
2012-01-09,HSI,18588.359375,18884.259765625,18302.83984375,18865.720703125,18865.720703125,1380951700.0,18865.720703125,USD
2012-01-10,HSI,18948.119140625,19086.529296875,18858.5703125,19004.279296875,19004.279296875,1994815200.0,19004.279296875,USD
2012-01-11,HSI,19071.900390625,19175.849609375,18983.140625,19151.939453125,19151.939453125,2037326200.0,19151.939453125,USD
2012-01-12,HSI,19112.759765625,19261.2890625,19050.94921875,19095.380859375,19095.380859375,1791582400.0,19095.380859375,USD
2012-01-13,HSI,19232.2109375,19232.2109375,19073.1796875,19204.419921875,19204.419921875,2018465200.0,19204.419921875,USD
2012-01-16,HSI,19070.740234375,19070.740234375,18985.75,19012.19921875,19012.19921875,1354845900.0,19012.19921875,USD
2012-01-17,HSI,19185.849609375,19640.279296875,19173.2890625,19627.75,19627.75,2590203600.0,19627.75,USD
2012-01-18,HSI,19651.58984375,19726.83984375,19577.0703125,19686.919921875,19686.919921875,1947200800.0,19686.919921875,USD
2012-01-19,HSI,19842.4609375,19956.5390625,19776.3203125,19942.94921875,19942.94921875,2497477200.0,19942.94921875,USD
2012-01-20,HSI,20161.720703125,20161.720703125,19927.880859375,20110.369140625,20110.369140625,1966388400.0,20110.369140625,USD
2012-01-26,HSI,20453.470703125,20453.470703125,20301.58984375,20439.140625,20439.140625,2041611000.0,20439.140625,USD
2012-01-27,HSI,20443.4609375,20590.80078125,20384.05078125,20501.669921875,20501.669921875,1809725000.0,20501.669921875,USD
2012-01-30,HSI,20518.0,20518.0,20144.94921875,20160.41015625,20160.41015625,2136671200.0,20160.41015625,USD
2012-01-31,HSI,20326.490234375,20465.890625,20219.26953125,20390.490234375,20390.490234375,2386779600.0,20390.490234375,USD
2012-02-01,HSI,20394.669921875,20534.220703125,20269.509765625,20333.369140625,20333.369140625,1499488400.0,20333.369140625,USD
2012-02-02,HSI,20638.9609375,20761.69921875,20564.970703125,20739.44921875,20739.44921875,2100068000.0,20739.44921875,USD
2012-02-03,HSI,20680.7109375,20796.740234375,20639.490234375,20756.98046875,20756.98046875,1663273500.0,20756.98046875,USD
2012-02-06,HSI,21015.55078125,21015.55078125,20633.130859375,20709.939453125,20709.939453125,1900864400.0,20709.939453125,USD
2012-02-07,HSI,20808.05078125,20881.849609375,20649.26953125,20699.189453125,20699.189453125,1519257700.0,20699.189453125,USD
2012-02-08,HSI,20827.890625,21023.330078125,20755.73046875,21018.4609375,21018.4609375,1739168600.0,21018.4609375,USD
2012-02-09,HSI,20922.2890625,21053.060546875,20787.83984375,21010.009765625,21010.009765625,2208070800.0,21010.009765625,USD
2012-02-10,HSI,20986.25,21002.330078125,20703.7890625,20783.859375,20783.859375,1997876600.0,20783.859375,USD
2012-02-13,HSI,20718.80078125,20969.80078125,20673.9609375,20887.400390625,20887.400390625,1515547500.0,20887.400390625,USD
2012-02-14,HSI,20845.240234375,20947.94921875,20813.529296875,20917.830078125,20917.830078125,1174512100.0,20917.830078125,USD
2012-02-15,HSI,20993.580078125,21403.279296875,20933.390625,21365.23046875,21365.23046875,2038762000.0,21365.23046875,USD
2012-02-16,HSI,21266.509765625,21317.720703125,21157.55078125,21277.279296875,21277.279296875,1548013700.0,21277.279296875,USD
2012-02-17,HSI,21503.58984375,21546.73046875,21381.689453125,21491.619140625,21491.619140625,1590262700.0,21491.619140625,USD
2012-02-20,HSI,21760.33984375,21760.33984375,21393.48046875,21424.7890625,21424.7890625,1855260400.0,21424.7890625,USD
2012-02-21,HSI,21434.310546875,21480.33984375,21221.390625,21478.720703125,21478.720703125,1547155900.0,21478.720703125,USD
2012-02-22,HSI,21339.01953125,21569.740234375,21302.189453125,21549.279296875,21549.279296875,1377263800.0,21549.279296875,USD
2012-02-23,HSI,21356.529296875,21428.5,21325.560546875,21380.990234375,21380.990234375,1125571200.0,21380.990234375,USD
2012-02-24,HSI,21438.970703125,21468.9296875,21292.400390625,21406.859375,21406.859375,1386342400.0,21406.859375,USD
2012-02-27,HSI,21381.66015625,21589.01953125,21076.51953125,21217.859375,21217.859375,1610982000.0,21217.859375,USD
2012-02-28,HSI,21303.390625,21583.0703125,21273.990234375,21568.73046875,21568.73046875,1614442400.0,21568.73046875,USD
2012-02-29,HSI,21643.849609375,21716.759765625,21525.91015625,21680.080078125,21680.080078125,1557394100.0,21680.080078125,USD
2012-03-01,HSI,21578.189453125,21641.140625,21338.2890625,21387.9609375,21387.9609375,1377724000.0,21387.9609375,USD
2012-03-02,HSI,21618.150390625,21623.240234375,21531.9296875,21562.259765625,21562.259765625,1592404700.0,21562.259765625,USD
2012-03-05,HSI,21518.029296875,21578.759765625,21230.609375,21265.310546875,21265.310546875,1255361600.0,21265.310546875,USD
2012-03-06,HSI,21173.740234375,21173.740234375,20789.359375,20806.25,20806.25,3940575200.0,20806.25,USD
2012-03-07,HSI,20521.9609375,20732.869140625,20521.9609375,20627.779296875,20627.779296875,2211849600.0,20627.779296875,USD
2012-03-08,HSI,20722.94921875,20909.7109375,20681.08984375,20900.73046875,20900.73046875,1592319800.0,20900.73046875,USD
2012-03-09,HSI,20930.9296875,21209.7890625,20917.6796875,21086.0,21086.0,1399879900.0,21086.0,USD
2012-03-12,HSI,21073.58984375,21170.55078125,20924.359375,21134.1796875,21134.1796875,1130190800.0,21134.1796875,USD
2012-03-13,HSI,21279.41015625,21427.119140625,21261.3203125,21339.69921875,21339.69921875,1360783500.0,21339.69921875,USD
2012-03-14,HSI,21564.2109375,21638.3203125,21263.01953125,21307.890625,21307.890625,1924523200.0,21307.890625,USD
2012-03-15,HSI,21323.060546875,21368.48046875,21162.169921875,21353.529296875,21353.529296875,1320818700.0,21353.529296875,USD
2012-03-16,HSI,21350.25,21438.619140625,21253.390625,21317.849609375,21317.849609375,1537009700.0,21317.849609375,USD
2012-03-20,HSI,21183.0390625,21183.0390625,20786.689453125,20888.240234375,20888.240234375,1707925200.0,20888.240234375,USD
