Index,Date,Open,High,Low,Close,Adj Close,Volume,CloseUSD
399001.SZ,2012-01-04,8980.658911404005,9025.558797796177,8695.102547934664,8695.892578125,8695.892578125,53500.0,
399001.SZ,2012-01-05,8653.00233568921,8744.12142855132,8565.963275085967,8600.1630859375,8600.1630859375,53600.0,
399001.SZ,2012-01-06,8597.273852347038,8643.193260056207,8486.48505380173,8634.3232421875,8634.3232421875,49900.0,
399001.SZ,2012-01-09,8638.433145459818,8946.779287882335,8532.5739841463,8945.9794921875,8945.9794921875,78200.0,
399001.SZ,2012-01-10,8930.459966007527,9291.205942491117,8909.1506333649,9281.146484375,9281.146484375,112300.0,
399001.SZ,2012-01-11,9277.945853902922,9311.955238484288,9186.057234992237,9239.1064453125,9239.1064453125,85500.0,
399001.SZ,2012-01-12,9191.436629076316,9344.635100800602,9177.486590711347,9200.826171875,9200.826171875,67100.0,
399001.SZ,2012-01-13,9216.85729914302,9258.206447951292,8951.620019108555,9030.4892578125,9030.4892578125,61400.0,
399001.SZ,2012-01-16,8951.078682178904,9024.318090109386,8823.700236723984,8827.3701171875,8827.3701171875,50000.0,
399001.SZ,2012-01-17,8835.781151944824,9305.315944433572,8762.472400783057,9263.986328125,9263.986328125,93800.0,
399001.SZ,2012-01-18,9326.335515131232,9398.913800240309,9084.937840056184,9115.1669921875,9115.1669921875,98500.0,
399001.SZ,2012-01-19,9119.778374451003,9362.945589735496,9078.879415617364,9300.1162109375,9300.1162109375,90900.0,
399001.SZ,2012-01-20,9348.346037821362,9503.26423362733,9258.916370167188,9466.0341796875,9466.0341796875,95600.0,
399001.SZ,2012-01-30,9482.104130985335,9482.104130985335,9274.74609375,9274.74609375,9274.74609375,62400.0,
399001.SZ,2012-01-31,9277.986612520466,9324.705819263165,9213.037139866254,9303.546875,9303.546875,40600.0,
399001.SZ,2012-02-01,9277.686558634818,9403.265236094345,9172.96800007052,9193.287109375,9193.287109375,50100.0,
399001.SZ,2012-02-02,9222.136563016593,9382.0244140625,9174.616589403537,9382.0244140625,9382.0244140625,55300.0,
399001.SZ,2012-02-03,9349.175784942829,9471.913671009062,9292.676416392496,9436.884765625,9436.884765625,61400.0,
399001.SZ,2012-02-06,9451.064424881277,9526.683697972743,9404.385258434935,9448.5341796875,9448.5341796875,60200.0,
399001.SZ,2012-02-07,9393.654830764912,9393.654830764912,9206.757504499454,9266.6064453125,9266.6064453125,53400.0,
399001.SZ,2012-02-08,9259.53557524693,9605.092238213914,9236.05634695584,9557.47265625,9557.47265625,77000.0,
399001.SZ,2012-02-09,9548.112445254936,9630.241405277486,9493.823016181164,9560.623046875,9560.623046875,84900.0,
399001.SZ,2012-02-10,9539.593347454776,9699.191169260352,9539.593347454776,9590.8427734375,9590.8427734375,90900.0,
399001.SZ,2012-02-13,9463.844130963887,9670.67189110358,9420.294814347602,9584.97265625,9584.97265625,67900.0,
399001.SZ,2012-02-14,9574.76332511847,9596.973038340058,9478.484125530482,9543.673828125,9543.673828125,52300.0,
399001.SZ,2012-02-15,9523.543670701603,9725.110747897632,9515.683407220467,9673.33203125,9673.33203125,77700.0,
399001.SZ,2012-02-16,9647.041718226114,9726.920701214503,9557.832762213391,9622.7216796875,9622.7216796875,82700.0,
399001.SZ,2012-02-17,9681.341051580614,9719.420700410234,9553.482141450508,9615.2314453125,9615.2314453125,57600.0,
399001.SZ,2012-02-20,9741.04058882927,9755.649799153072,9616.5419921875,9616.5419921875,9616.5419921875,76000.0,
399001.SZ,2012-02-21,9632.33274038481,9695.76171875,9539.72342419276,9695.76171875,9695.76171875,58100.0,
399001.SZ,2012-02-22,9709.821043488566,9865.659143552844,9701.451019953967,9862.4296875,9862.4296875,106400.0,
399001.SZ,2012-02-23,9859.319027311196,9958.63822506066,9839.939362014473,9918.8291015625,9918.8291015625,103500.0,
399001.SZ,2012-02-24,9922.049135111254,10131.016523467491,9906.9194215902,10124.037109375,10124.037109375,123300.0,
399001.SZ,2012-02-27,10157.065655909852,10333.803906075596,10157.065655909852,10177.2158203125,10177.2158203125,137100.0,
399001.SZ,2012-02-28,10154.925857936154,10232.955254017734,10086.946153544191,10161.74609375,10161.74609375,97900.0,
399001.SZ,2012-02-29,10126.565596877854,10214.514801313502,10048.67682597166,10054.7265625,10054.7265625,82000.0,
399001.SZ,2012-03-01,10011.007397108584,10125.555912024023,10011.007397108584,10060.8466796875,10060.8466796875,55900.0,
399001.SZ,2012-03-02,10078.707551987703,10301.524395051863,10078.707551987703,10299.8251953125,10299.8251953125,88700.0,
399001.SZ,2012-03-05,10337.88449575649,10379.343993470791,10217.416115176253,10226.326171875,10226.326171875,92900.0,
399001.SZ,2012-03-06,10193.116071714769,10224.935050548826,10070.377214834269,10093.6962890625,10093.6962890625,83100.0,
399001.SZ,2012-03-07,9997.777009146934,10173.545536674994,9991.217512736564,10054.7568359375,10054.7568359375,92300.0,
399001.SZ,2012-03-08,10092.016512449802,10228.12533501098,10084.406246378505,10171.015625,10171.015625,81000.0,
399001.SZ,2012-03-09,10202.835462312463,10334.263671875,10161.60545720242,10334.263671875,10334.263671875,84600.0,
399001.SZ,2012-03-12,10322.83470978132,10373.80386613222,10228.275220779777,10300.384765625,10300.384765625,85300.0,
399001.SZ,2012-03-13,10308.523793841112,10427.123046875,10291.9341365376,10427.123046875,10427.123046875,77600.0,
399001.SZ,2012-03-14,10487.18211995073,10528.881847318517,10063.67710680122,10094.7763671875,10094.7763671875,145200.0,
