Date,Close,High,Low,Open,Volume,Index,Currency,Daily_Return,MA_5,MA_20,MA_50,MA_200,Volatility_20,CloseUSD
,^TWII,^TWII,^TWII,^TWII,^TWII,,,,,,,,,
2012-01-03,7053.34814453125,7073.758208941126,7005.358614378239,7005.358614378239,1818200.0,TWII,TWD,,,,,,,225.707140625
2012-01-04,7082.93798828125,7116.187836998219,7064.54793523515,7093.037551704385,2132200.0,TWII,TWD,0.004195148622139433,,,,,,226.654015625
2012-01-05,7130.8271484375,7130.8271484375,7073.287373356262,7099.317527372494,2209000.0,TWII,TWD,0.006761199975982013,,,,,,228.18646875000002
2012-01-06,7120.47705078125,7139.007239082289,7090.437638015288,7129.497028870449,2354400.0,TWII,TWD,-0.0014514582166695877,,,,,,227.85526562500002
2012-01-09,7093.0078125,7103.057571527154,7050.2179678500315,7103.057571527154,1741000.0,TWII,TWD,-0.0038577806073030185,7096.11962890625,,,,,226.97625
2012-01-10,7178.8369140625,7181.707017975368,7128.826891459601,7128.826891459601,2546400.0,TWII,TWD,0.012100522631773192,7121.2173828125,,,,,229.72278125
2012-01-11,7188.1767578125,7212.32654860522,7184.346697379048,7203.066825752086,2389000.0,TWII,TWD,0.0013010246453299956,7142.26513671875,,,,,230.02165625
2012-01-12,7186.546875,7209.706924246452,7173.836972784509,7202.346606689929,2178800.0,TWII,TWD,-0.0002267449545850786,7153.40908203125,,,,,229.9695
2012-01-13,7181.5068359375,7249.90642204121,7169.886772474439,7226.206824583162,2530000.0,TWII,TWD,-0.0007013158266639952,7165.6150390625,,,,,229.80821875
2012-01-16,7103.587890625,7258.806913011581,7091.317926758403,7241.887067896165,2092600.0,TWII,TWD,-0.010849943764250192,7167.7310546875,,,,,227.31481250000002
2012-01-17,7221.046875,7221.046875,7118.327132472316,7144.167345687577,2607400.0,TWII,TWD,0.016535163101172756,7176.173046875,,,,,231.0735
2012-01-18,7233.65673828125,7245.096627177397,7194.516781218369,7235.506827445427,3019600.0,TWII,TWD,0.0017462652575912507,7185.26904296875,,,,,231.477015625
2012-01-30,7407.3759765625,7442.99544111066,7382.686149081963,7382.686149081963,3584800.0,TWII,TWD,0.024015410817313176,7229.43486328125,,,,,237.03603125
2012-01-31,7517.04541015625,7517.04541015625,7420.975540722248,7436.485723096867,4300400.0,TWII,TWD,0.014805436357051782,7296.542578125,,,,,240.545453125
2012-02-01,7549.1748046875,7566.0448433118045,7488.93533912689,7520.324841384547,4049800.0,TWII,TWD,0.004274205193418146,7385.6599609375,,,,,241.57359375000001
2012-02-02,7652.4248046875,7652.4248046875,7578.724947961873,7613.755060466411,4452800.0,TWII,TWD,0.013676991548253525,7471.935546875,,,,,244.87759375000002
