Date,Close,High,Low,Open,Volume,Index,Currency,Daily_Return,MA_5,MA_20,MA_50,MA_200,Volatility_20,CloseUSD
,^J203.JO,^J203.JO,^J203.JO,^J203.JO,^J203.JO,,,,,,,,,
2012-02-08,34226.73046875,34282.94140625,33974.44921875,33974.44921875,0.0,J203.JO,ZAR,,,,,,,1882.47017578125
2012-02-09,34268.140625,34307.44921875,34041.671875,34226.73046875,0.0,J203.JO,ZAR,0.0012098776506803688,,,,,,1884.747734375
2012-02-10,33892.578125,34268.140625,33829.7109375,34268.140625,0.0,J203.JO,ZAR,-0.010959523719416886,,,,,,1864.091796875
2012-02-13,34207.4296875,34230.2109375,33892.578125,33892.578125,0.0,J203.JO,ZAR,0.00928969054342188,,,,,,1881.4086328125
2012-02-14,34112.44140625,34245.91015625,34044.421875,34207.4296875,0.0,J203.JO,ZAR,-0.0027768318788566893,34141.4640625,,,,,1876.18427734375
2012-02-15,34089.87109375,34300.5390625,34089.87109375,34112.44140625,0.0,J203.JO,ZAR,-0.0006616445956244554,34114.0921875,,,,,1874.94291015625
2012-02-16,33801.640625,34089.87109375,33721.4296875,34089.87109375,0.0,J203.JO,ZAR,-0.008455017854345659,34020.7921875,,,,,1859.090234375
2012-02-17,34082.78125,34117.41015625,33801.640625,33801.640625,0.0,J203.JO,ZAR,0.008317366252100333,34058.8328125,,,,,1874.55296875
2012-02-20,34106.0,34239.8984375,34082.78125,34082.78125,0.0,J203.JO,ZAR,0.0006812457536751193,34038.546875,,,,,1875.83
2012-02-21,34142.37109375,34192.46875,34078.87109375,34106.0,0.0,J203.JO,ZAR,0.0010664133510231988,34044.5328125,,,,,1877.83041015625
2012-02-22,34006.51953125,34249.2109375,33974.890625,34142.37109375,0.0,J203.JO,ZAR,-0.003978972700137695,34027.8625,,,,,1870.35857421875
2012-02-23,34108.19921875,34230.0390625,34006.51953125,34006.51953125,0.0,J203.JO,ZAR,0.0029900057077749675,34089.17421875,,,,,1875.95095703125
2012-02-24,34260.76171875,34282.01953125,34104.08984375,34108.19921875,0.0,J203.JO,ZAR,0.0044728981152464264,34124.7703125,,,,,1884.34189453125
2012-02-27,33871.3203125,34260.76171875,33814.8203125,34260.76171875,0.0,J203.JO,ZAR,-0.011366980379682201,34077.834375,,,,,1862.9226171875
2012-02-28,34214.53125,34214.53125,33871.3203125,33871.3203125,0.0,J203.JO,ZAR,0.010132788870746756,34092.26640625,,,,,1881.79921875
2012-02-29,34296.0,34372.53125,34207.421875,34214.53125,0.0,J203.JO,ZAR,0.0023811154799906475,34150.1625,,,,,1886.28
2012-03-01,34298.48046875,34298.48046875,33948.12109375,34296.0,0.0,J203.JO,ZAR,7.232530761602796e-05,34188.21875,,,,,1886.41642578125
2012-03-02,34186.80859375,34298.48046875,34023.12109375,34298.48046875,0.0,J203.JO,ZAR,-0.0032558840354967034,34173.428125,,,,,1880.27447265625
2012-03-05,34031.76953125,34186.80859375,33910.7109375,34186.80859375,0.0,J203.JO,ZAR,-0.004535055153651935,34205.51796875,,,,,1871.74732421875
2012-03-06,33387.0390625,34031.76953125,33330.33984375,34031.76953125,0.0,J203.JO,ZAR,-0.018944958714473215,34040.01953125,34079.570703125,,,,1836.2871484375
2012-03-07,33592.3203125,33685.921875,33387.0390625,33387.0390625,0.0,J203.JO,ZAR,0.006148531159523296,33899.28359375,34047.8501953125,,,0.007440982208686578,1847.5776171875
2012-03-08,33758.62109375,33841.3203125,33563.0703125,33592.3203125,0.0,J203.JO,ZAR,0.004950559523812403,33791.31171875,34022.37421875,,,0.007543343194990683,1856.72416015625
2012-03-09,33926.19921875,33926.19921875,33758.62109375,33758.62109375,0.0,J203.JO,ZAR,0.004964009772040923,33739.18984375,34024.0552734375,,,0.007240134928713094,1865.94095703125
2012-03-12,33901.71875,34077.078125,33821.12109375,33926.19921875,0.0,J203.JO,ZAR,-0.0007215800565266717,33713.1796875,34008.7697265625,,,0.006907950636842923,1864.59453125
2012-03-13,34175.390625,34239.4609375,33901.71875,33901.71875,0.0,J203.JO,ZAR,0.008072507385779693,33870.85,34011.9171875,,,0.0071358557369525025,1879.646484375
2012-03-14,34426.73828125,34541.12890625,34175.390625,34175.390625,0.0,J203.JO,ZAR,0.007354638868886321,34037.73359375,34028.760546875,,,0.0073127886253374205,1893.47060546875
2012-03-15,34215.30078125,34601.26953125,34156.7109375,34426.73828125,0.0,J203.JO,ZAR,-0.006141665186886303,34129.06953125,34049.4435546875,,,0.007180501491717017,1881.84154296875
2012-03-16,34221.62109375,34438.6015625,34215.30078125,34215.30078125,0.0,J203.JO,ZAR,0.00018472181613748972,34188.15390625,34056.385546875,,,0.006948973204846036,1882.18916015625
2012-03-19,34214.0703125,34312.609375,34035.16015625,34221.62109375,0.0,J203.JO,ZAR,-0.00022064358755291558,34250.62421875,34061.7890625,,,0.006948792080223946,1881.7738671875
2012-03-20,33878.55859375,34214.0703125,33840.08984375,34214.0703125,0.0,J203.JO,ZAR,-0.009806249758814056,34191.2578125,34048.5984375,,,0.007292693420510304,1863.32072265625
2012-03-21,33878.55859375,33878.55859375,33878.55859375,33878.55859375,0.0,J203.JO,ZAR,0.0,34081.621875,34042.200390625,,,0.007242943022532577,1863.32072265625
2012-03-22,33550.890625,33975.33984375,33493.6484375,33878.55859375,0.0,J203.JO,ZAR,-0.009671839132212923,33948.73984375,34014.3349609375,,,0.007501555705222083,1845.298984375
2012-03-23,33572.0703125,33672.421875,33323.26171875,33550.890625,0.0,J203.JO,ZAR,0.0006312704999913432,33818.8296875,33979.900390625,,,0.007408129237138749,1846.4638671875
2012-03-26,33664.4609375,33726.421875,33461.2109375,33572.0703125,0.0,J203.JO,ZAR,0.0027520085636660863,33708.9078125,33969.557421875,,,0.007030167418193271,1851.5453515625
2012-03-27,33858.21875,34010.87890625,33664.4609375,33664.4609375,0.0,J203.JO,ZAR,0.0057555596348244364,33704.83984375,33951.741796875,,,0.006751460864078161,1862.2020312500001
2012-03-28,33621.9296875,33858.21875,33612.109375,33858.21875,0.0,J203.JO,ZAR,-0.006978780078322977,33653.5140625,33918.03828125,,,0.0068645809766292205,1849.2061328125
2012-03-29,33483.26171875,33629.421875,33331.69140625,33621.9296875,0.0,J203.JO,ZAR,-0.004124331055321728,33639.98828125,33877.27734375,,,0.006895130665288872,1841.57939453125
2012-03-30,33554.2109375,33733.16015625,33483.26171875,33483.26171875,0.0,J203.JO,ZAR,0.002118945858559318,33636.41640625,33845.6474609375,,,0.00691465312744204,1845.4816015625
2012-04-02,33974.62890625,33974.62890625,33554.2109375,33554.2109375,0.0,J203.JO,ZAR,0.012529514388912144,33698.45,33842.7904296875,,,0.007474084169114416,1868.60458984375
2012-04-03,34192.19140625,34210.76171875,33948.46875,33974.62890625,0.0,J203.JO,ZAR,0.006403675536835074,33765.24453125,33883.048046875,,,0.006131257927646439,1880.57052734375
2012-04-04,33404.3203125,34192.19140625,33404.3203125,34192.19140625,0.0,J203.JO,ZAR,-0.023042427564498924,33721.72265625,33873.648046875,,,0.008063700973083957,1837.2376171875
2012-04-05,33732.19921875,33732.19921875,33203.640625,33404.3203125,0.0,J203.JO,ZAR,0.009815464083168468,33771.51015625,33872.326953125,,,0.008298768974281123,1855.27095703125
2012-04-10,33617.73828125,33787.12890625,33553.94140625,33732.19921875,0.0,J203.JO,ZAR,-0.0033932248756665118,33784.215625,33856.90390625,,,0.008245565137141898,1848.97560546875
2012-04-11,33632.76171875,33712.41015625,33458.51171875,33617.73828125,0.0,J203.JO,ZAR,0.00044689019155041976,33715.8421875,33843.4560546875,,,0.008247485927520988,1849.80189453125
2012-04-12,33816.9609375,33816.9609375,33486.19140625,33632.76171875,0.0,J203.JO,ZAR,0.005476779465520609,33640.79609375,33825.5345703125,,,0.008127256933030081,1859.9328515625
2012-04-13,33705.03125,33882.609375,33579.05859375,33816.9609375,0.0,J203.JO,ZAR,-0.003309868314508413,33700.93828125,33789.44921875,,,0.007932622620159598,1853.77671875
2012-04-16,33661.2109375,33766.26953125,33576.6015625,33705.03125,0.0,J203.JO,ZAR,-0.0013001119083667634,33686.740625,33761.7447265625,,,0.007841733317905409,1851.3666015625
