,Global averaged stocks(USD),Currency US Dollar Index,Volatility_CBOE SKEW Index,Gold/BTC Ratio,BTC Volume,S2F Model,Onchain Hash Rate (GH/s),Onchain Mining Difficulty,BTC/USD
2015-02-11,0.0610479854511766,0.2507837168658016,0.2587814057599686,0.8017191442280835,2.661627492772143e-05,1.0016029774932418e-05,8.750032541533163e-05,3.45477510535013e-05,0.0003876824860743
2015-02-12,0.0647664586613713,0.215517205298243,0.281146962155578,0.7930718190728813,2.0929873228457024e-05,1.0249114273562063e-05,7.185234882609633e-05,3.45477510535013e-05,0.0004120200790438
2015-02-13,0.0666226559097404,0.2198275733208015,0.2250896713639674,0.7507730143625874,9.93952073341258e-05,1.0468736683971496e-05,9.979516416401631e-05,3.45477510535013e-05,0.0005409549784126
2015-02-14,0.0668104015502244,0.2184561061753243,0.2300358980787271,0.7417037179436218,0.0001193065886612,1.0729843916454308e-05,0.0001277379795019,3.45477510535013e-05,0.0007475643213338
2015-02-15,0.0669981471907084,0.2170846390298479,0.2349821247934866,0.7326344215246563,0.0001387387132034,1.0978765255753924e-05,0.0001243848416613,3.45477510535013e-05,0.0005352739796112
2015-02-16,0.0671858928311922,0.2157131718843712,0.2399283515082466,0.7235651251056907,5.7821533298219984e-05,1.1232314487555914e-05,0.0001210317038208,3.45477510535013e-05,0.0005260070960062
2015-02-17,0.0673736384716763,0.214341704738894,0.2448745782230064,0.7144958286867251,5.556885544912521e-05,1.148745889302836e-05,0.0001243848416613,3.45477510535013e-05,0.0006181762725662
2015-02-18,0.0671362418343159,0.2198275733208015,0.2448745782230064,0.7314821514675328,4.940775588790888e-05,1.1753475163620995e-05,0.0001277379795019,3.45477510535013e-05,0.0005494386781664
2015-02-19,0.0665619777126912,0.2276647419788231,0.3005018883708557,0.7238361635880104,2.9661065655703567e-05,1.2031136838319503e-05,0.0001333265425695,3.45477510535013e-05,0.0005867800893439
2015-02-20,0.070710372834295,0.2217869402246606,0.2136200935609877,0.7118002307562338,4.563496213634502e-05,1.2307083141877202e-05,0.0001389151056371,3.45477510535013e-05,0.0006197711510983
2015-02-21,0.0705720512375267,0.2259666638564672,0.2586380424180479,0.7158501967798354,1.2604140019432314e-05,1.2558619313513312e-05,0.0001221494164343,3.45477510535013e-05,0.0006268958346381
2015-02-22,0.0704337296407583,0.2301463874882729,0.303655991275108,0.7199001628034369,3.324124490866029e-05,1.2804925487711256e-05,0.0001053837272316,3.45477510535013e-05,0.000546145245358
2015-02-23,0.0702954080439899,0.23432611112008,0.3486739401321685,0.7239501288270386,2.433139968462872e-05,1.3052769036775663e-05,9.858715582874506e-05,4.464165010382569e-05,0.0005736534441777
2015-02-24,0.0725152822995925,0.2311912436568706,0.3716128769741262,0.7223663192094065,1.806402022995016e-05,1.328122867491323e-05,9.179058442588997e-05,5.4735549154150034e-05,0.0005721718889939
2015-02-25,0.0728365717189055,0.2202195064930561,0.3726165662102374,0.728733640253069,1.0358870420283974e-05,1.3522468058100494e-05,9.8833107610159e-05,5.4735549154150034e-05,0.0005602343470164
2015-02-26,0.0730730532811217,0.2625393203741275,0.2273835212953632,0.7372347195467243,1.6408561299613626e-05,1.378234907063752e-05,0.0001058756307944,5.4735549154150034e-05,0.0005503822714329
2015-02-27,0.0707063421461605,0.260971886642523,0.230250970437108,0.688155287430202,0.0001030124278368,1.4039751227681657e-05,9.531184601802496e-05,5.4735549154150034e-05,0.0007146014824209
2015-02-28,0.0721974353058213,0.2637148209334765,0.2283871740708074,0.6690273038695044,1.734855424473931e-05,1.4291492500220284e-05,8.47480612416219e-05,5.4735549154150034e-05,0.000718706465916
2015-03-01,0.0736885284654821,0.2664577552244305,0.2265233777045068,0.6498993203088065,4.944451220495077e-05,1.452835988886538e-05,0.0001023543692022,5.4735549154150034e-05,0.0007747515573286
2015-03-02,0.0751796216251429,0.269200689515384,0.2246595813382059,0.6307713367481088,9.290244612146166e-05,1.4780024019662606e-05,0.0001199606771629,5.4735549154150034e-05,0.0009207200934861
2015-03-03,0.072648240539267,0.266065822052175,0.1827956989247312,0.6152857203021652,0.0001213831781078,1.504945721731522e-05,0.0001281769542112,5.4735549154150034e-05,0.0009776426848783
2015-03-04,0.0699882042456437,0.2891850958965705,0.2516129469786066,0.6329952358685269,9.55161336890997e-05,1.530258083144888e-05,0.0001363932312595,5.4735549154150034e-05,0.0008963920041265
2015-03-05,0.0712039033619643,0.3052507684700369,0.2425807282916108,0.6234176257448082,9.528647794076042e-05,1.5529957176426952e-05,0.0001375669851236,5.4735549154150034e-05,0.0009255139447039
2015-03-06,0.063743720569168,0.3538403172775268,0.2051613647023409,0.6144767677196479,6.000183824399196e-05,1.576907508005947e-05,0.0001387407389876,5.4735549154150034e-05,0.0008929096510731
2015-03-07,0.0648890714681675,0.3534483841052718,0.2028196783760829,0.6028487293339188,2.8394254914864285e-05,1.601259228227968e-05,0.0001363932312595,5.4735549154150034e-05,0.000926296984561
2015-03-08,0.0660344223671671,0.3530564509330163,0.2004779920498243,0.5912206909481897,4.048109963515272e-05,1.6265822805301114e-05,0.0001340457235315,5.4735549154150034e-05,0.0009083011792684
2015-03-09,0.0671797732661667,0.3526645177607612,0.1981363057235663,0.5795926525624606,0.0001462204757839,1.652206781105293e-05,0.0001309984255074,5.810105096337416e-05,0.0010522405507207
2015-03-10,0.0579113366262966,0.3930252636953892,0.18910397765457,0.5721622008947649,0.0001707036021261,1.6772434738112827e-05,0.0001279511274833,6.146655277259824e-05,0.0010725581167077
2015-03-11,0.0570769515012351,0.4392635124267623,0.1918280269937275,0.5585963571693622,7.437669246696583e-05,1.7031146077657545e-05,0.0001064872236038,6.146655277259824e-05,0.0011161465674513
2015-03-12,0.063841023559481,0.4137932374636692,0.1604301425291219,0.5631527355667663,7.044832546652697e-05,1.7277316300917537e-05,8.502331972431938e-05,6.146655277259824e-05,0.0010970371118727
2015-03-13,0.060105360009081,0.4600314861950427,0.1470968048205085,0.5813167982216348,6.713256375011969e-05,1.7511366324276796e-05,8.621575882873601e-05,6.146655277259824e-05,0.0010119455327854
2015-03-14,0.0622312393436412,0.4504964387196093,0.1577539295848267,0.5779065542328815,4.2032273200858766e-05,1.7749016933689377e-05,8.740819793315264e-05,6.146655277259824e-05,0.0009793697499843
2015-03-15,0.0643571186782016,0.440961391244175,0.168411054349145,0.5744963102441283,1.1709166439365697e-05,1.7981075966393254e-05,8.38308806199028e-05,6.146655277259824e-05,0.001021910787723
2015-03-16,0.0664829980127618,0.4314263437687411,0.1790681791134631,0.571086066255375,3.890884105036839e-05,1.8223695082062103e-05,8.025356330665302e-05,6.146655277259824e-05,0.001061545160777
2015-03-17,0.0637963918587071,0.431034410596486,0.2164875427027328,0.5787917579806282,3.8854988771911655e-05,1.845358842872728e-05,9.217795435081796e-05,6.146655277259824e-05,0.0010135309077076
2015-03-18,0.0698761837967644,0.3902823294044344,0.2605017658630153,0.6469092312919676,0.0001400368665402,1.869201041966535e-05,0.0001041023453949,6.146655277259824e-05,0.0007379198852269
2015-03-19,0.0674753534314337,0.4118338705598097,0.2524731270301301,0.6451914198976342,0.0001278531447052,1.8942519195016823e-05,0.0001041023453949,6.146655277259824e-05,0.0007816027960931
2015-03-20,0.0719968050804972,0.3652039876135964,0.2974910394265233,0.6518419634419395,3.019161032494395e-05,1.9176070674612573e-05,0.0001041023453949,6.146655277259824e-05,0.0007893502540687
2015-03-21,0.0717955575425759,0.3537096728867746,0.2785185491454789,0.6483329496361232,2.6411693256123906e-05,1.9422617537506054e-05,9.456283255965112e-05,6.146655277259824e-05,0.0007730812258938
2015-03-22,0.0715943100046545,0.3422153581599532,0.259546058864434,0.6448239358303068,3.0138612844557964e-05,1.9671192128647863e-05,8.502331972431938e-05,6.146655277259824e-05,0.0008479621841156
2015-03-23,0.0713930624667332,0.3307210434331313,0.2405735685833896,0.6413149220244906,4.260099885059228e-05,1.991707014011891e-05,0.000122585101261,5.825127715369799e-05,0.0008364492807072
2015-03-24,0.0686904098164032,0.3369907783595485,0.236272449561772,0.6990223136668963,9.178550997569244e-05,2.019080555029499e-05,0.0001601468827978,5.5036001534797686e-05,0.000636908319637
2015-03-25,0.0595250389615029,0.3287619754866879,0.1809319390190973,0.7005979923638451,7.979896156237104e-05,2.048260578776733e-05,0.000139004300261,5.5036001534797686e-05,0.0006425893184384
2015-03-26,0.0583321295737687,0.346787014964014,0.1794982691392248,0.698526400262143,5.091561968469734e-05,2.0744172584066995e-05,0.0001178617177243,5.5036001534797686e-05,0.0006646241579333
2015-03-27,0.0597218454799755,0.3409092132098519,0.1643011715249773,0.6996916587705974,2.6824275791601927e-05,2.102243480359519e-05,0.000119036305643,5.5036001534797686e-05,0.0006504407401465
2015-03-28,0.0621006559418407,0.3499217827747514,0.1685544541517321,0.6962959359010503,2.330820639395084e-05,2.129400192680956e-05,0.0001202108935617,5.5036001534797686e-05,0.0007048815934113
2015-03-29,0.0644794664037059,0.3589343523396509,0.172807736778487,0.6929002130315032,3.943112267159159e-05,2.1552653110245884e-05,0.0001108141902121,5.5036001534797686e-05,0.0006097114360381
2015-03-30,0.0668582768655712,0.3679469219045503,0.1770610194052417,0.689504490161956,4.316431077921109e-05,2.180768867684092e-05,0.0001014174868624,5.5036001534797686e-05,0.000655130771626
2015-03-31,0.0613531521179523,0.3828370939186682,0.1435125754298274,0.6978676362328269,4.220237801693637e-05,2.206030177196637e-05,0.0001014174868624,5.5036001534797686e-05,0.0006239704507218
2015-04-01,0.0591535838155453,0.3761757247774109,0.1493907641339047,0.7038609943340706,4.2787059897323736e-05,2.2300901888603188e-05,0.0001014174868624,5.5036001534797686e-05,0.0006527338460171
2015-04-02,0.0607548128050385,0.346787014964014,0.1373476965025764,0.6837092285324413,5.2461664461978926e-05,2.255787906388741e-05,0.0001119887781308,5.5036001534797686e-05,0.0007068350172255
2015-04-03,0.0615802378193149,0.3435542389470956,0.1378136638244849,0.6845445378173992,4.355466856484983e-05,2.282909129806517e-05,0.0001225600693991,5.5036001534797686e-05,0.0007192632910589
2015-04-04,0.0624056628335911,0.3403214629301772,0.1382796311463934,0.6853798471023571,1.3200504140119811e-05,2.308714665878633e-05,0.0001329200909686,6.739362196622929e-05,0.000713365293165
2015-04-05,0.0632310878478674,0.3370886869132588,0.1387455984683017,0.6862151563873149,3.358943265614243e-05,2.334636451351648e-05,0.0001432801125381,7.975124239766089e-05,0.0007784884919317
2015-04-06,0.0640565128621437,0.3338559108963403,0.1392115657902104,0.6870504656722728,3.468642351359435e-05,2.358755679587773e-05,0.0001532256912027,7.975124239766089e-05,0.000730304325837
2015-04-07,0.0637771970681865,0.3620691201503869,0.1577060931899641,0.6887819654580163,3.0222098122800405e-05,2.3825632866232343e-05,0.0001631712698673,7.975124239766089e-05,0.0007084863414405
2015-04-08,0.0652871582058166,0.3714734235825982,0.1992831759982636,0.707402662410136,6.332842740262863e-05,2.4064856437525084e-05,0.0001432801125381,7.975124239766089e-05,0.0006315010535991
2015-04-09,0.0670711189865674,0.4141851706359243,0.2226524216299845,0.7056847741502934,3.927184529774338e-05,2.429089317005604e-05,0.0001233889552089,7.975124239766089e-05,0.000618799047002
2015-04-10,0.0697559494590925,0.4231975408958797,0.2420072384632616,0.7352786720278479,5.989669808129073e-05,2.453784523227771e-05,0.0001159297712105,7.975124239766089e-05,0.0005470417525574
2015-04-11,0.0690989727119508,0.4245036858459814,0.1953644564502126,0.7467347542191036,2.423224310842268e-05,2.479377533611536e-05,0.000108470587212,7.975124239766089e-05,0.0005515713746216
2015-04-12,0.0684419959648091,0.4258098307960813,0.1487216744371637,0.7581908364103592,1.289961521921872e-05,2.5025811210404e-05,0.0001134433765443,7.975124239766089e-05,0.000547806073183
2015-04-13,0.0677850192176674,0.4271159757461822,0.1020788924241151,0.7696469186016148,6.644958009159703e-05,2.5269521308712416e-05,0.0001184161658766,7.975124239766089e-05,0.0004386601374996
2015-04-14,0.0688715402261586,0.3985111322772967,0.1906810473370295,0.7845037560920265,6.798023850360526e-05,2.5537391911150406e-05,9.603861388133558e-05,7.975124239766089e-05,0.0003874371201463
2015-04-15,0.071317655917366,0.3816615933593184,0.1343369569402441,0.7736749433423178,4.18889520576644e-05,2.577410425482526e-05,7.366106188598514e-05,7.975124239766089e-05,0.0004315446695815
2015-04-16,0.0710929940757599,0.3460031486195052,0.1437993750350024,0.7553388480363067,4.828113203067125e-05,2.599893851513291e-05,8.733623254981071e-05,7.975124239766089e-05,0.0004762751374466
2015-04-17,0.0631627894714941,0.3499215834698073,0.1706093408728157,0.7779010160552791,3.581361723621248e-05,2.622821924454753e-05,0.0001010114032136,7.975124239766089e-05,0.0004225703819658
2015-04-18,0.0651812782016537,0.3554075517041863,0.1797849958230661,0.7738585770577394,1.4469879275171326e-05,2.646594680352049e-05,0.0001034977978797,7.975124239766089e-05,0.0004270434143529
2015-04-19,0.0671997669318132,0.3608935199385663,0.1889606507733161,0.7698161380601997,2.040360254957035e-05,2.671301058165663e-05,0.0001059841925459,7.975124239766089e-05,0.0004199092272032
2015-04-20,0.0692182556619729,0.3663794881729454,0.1981363057235663,0.7657736990626601,2.992947224991648e-05,2.6980077065078564e-05,0.0001272387773728,7.143766066682202e-05,0.0004390281863916
2015-04-21,0.0677493421808026,0.3679469219045503,0.1782078896799395,0.7367543164994681,4.877292585403801e-05,2.7248718400964213e-05,0.0001484933621997,6.312407893598309e-05,0.0005394639196189
2015-04-22,0.0701978980723941,0.3695140566787387,0.196845926264281,0.7303162536407299,4.555290152155381e-05,2.7516087188921338e-05,0.0001233555139945,6.312407893598309e-05,0.000529149479015
2015-04-23,0.0711195421486879,0.3405172800375968,0.1852330580407148,0.7278138171194845,2.614357159460124e-05,2.776052944078645e-05,9.821766578935258e-05,6.312407893598309e-05,0.0005507220974835
2015-04-24,0.072401747619225,0.3264106754105738,0.137777786528338,0.7322189406921911,3.8716796417141735e-05,2.7985020829992903e-05,0.0001173703120409,6.312407893598309e-05,0.0005017073734822
2015-04-25,0.0718514243326179,0.3244514081591858,0.1515890141969087,0.7402546256196832,1.7371063927268844e-05,2.8235261127721053e-05,0.0001365229582925,6.312407893598309e-05,0.0004556746230743
2015-04-26,0.0713011010460108,0.3224921409077987,0.1654002418654792,0.7482903105471752,6.007250155117328e-05,2.8505606889248395e-05,0.0001173703120409,6.312407893598309e-05,0.0003899944551706
2015-04-27,0.0707507777594036,0.3205328736564108,0.1792114695340501,0.7563259954746674,8.75123744200544e-05,2.8748002922764884e-05,9.821766578935258e-05,6.312407893598309e-05,0.0004830035492529
2015-04-28,0.0722531568458405,0.2938870981339678,0.1961290366333445,0.7747303849111911,3.877520761864242e-05,2.900524060065558e-05,8.744430227283659e-05,6.312407893598309e-05,0.0004506259023186
2015-04-29,0.0698795281785408,0.255877951232871,0.215340563046035,0.7721990825619445,3.155871737275027e-05,2.9251034836327123e-05,7.667093875632055e-05,6.312407893598309e-05,0.0004501824005238
2015-04-30,0.0636944154489086,0.235501611679429,0.0805735160800291,0.721437305956347,7.396268526803656e-05,2.9478152434191888e-05,9.821766578935203e-05,6.312407893598309e-05,0.0005477306202802
2015-05-01,0.0692164908741953,0.2629312535463817,0.1724732101604504,0.729210900334632,3.12133789521706e-05,2.9724860249343943e-05,0.0001197643928223,6.312407893598309e-05,0.0005093605153294
2015-05-02,0.0696469320544359,0.2652823543175526,0.1691757074536106,0.7246032352636402,1.332017587002366e-05,2.998925413615045e-05,0.0001089910293058,6.312407893598309e-05,0.000536264802939
2015-05-03,0.0700773732346765,0.2676334550887227,0.1658782047467706,0.7199955701926486,3.0298175151096423e-05,3.0239984519956167e-05,9.821766578935258e-05,6.312407893598309e-05,0.0005874878202923
