,Gold/BTC Ratio,S2F Model,Onchain Mining Difficulty,BTC/USD
2015-02-01,0.786079653889154,7.459555589674823e-06,5.723318811676399e-06,0.0004611668456248
2015-02-02,0.7721094351478527,7.720218338948498e-06,5.723318811676399e-06,0.0005673969010017
2015-02-03,0.7990088438660413,7.96012126041062e-06,5.723318811676399e-06,0.0004639601869613
2015-02-04,0.8030943155029245,8.193962988761684e-06,5.723318811676399e-06,0.0004600438357231
2015-02-05,0.8380913488085562,8.45589559447785e-06,5.723318811676399e-06,0.0003681105214812
2015-02-06,0.8002630407386014,8.739333150739376e-06,5.723318811676399e-06,0.0004167573405846
2015-02-07,0.8044008174423587,9.021647346506864e-06,5.723318811676399e-06,0.0004685463987026
2015-02-08,0.8085385941461158,9.265537592786964e-06,5.723318811676399e-06,0.0004275718726603
2015-02-09,0.8126763708498731,9.509558958484744e-06,2.013553493258885e-05,0.0003964115517561
2015-02-10,0.8076227013548667,9.76516767122864e-06,3.45477510535013e-05,0.0003938542167318
2015-02-11,0.8017191442280835,1.0016029774932418e-05,3.45477510535013e-05,0.0003876824860743
2015-02-12,0.7930718190728813,1.0249114273562063e-05,3.45477510535013e-05,0.0004120200790438
2015-02-13,0.7507730143625874,1.0468736683971496e-05,3.45477510535013e-05,0.0005409549784126
2015-02-14,0.7417037179436218,1.0729843916454308e-05,3.45477510535013e-05,0.0007475643213338
2015-02-15,0.7326344215246563,1.0978765255753924e-05,3.45477510535013e-05,0.0005352739796112
2015-02-16,0.7235651251056907,1.1232314487555914e-05,3.45477510535013e-05,0.0005260070960062
2015-02-17,0.7144958286867251,1.148745889302836e-05,3.45477510535013e-05,0.0006181762725662
2015-02-18,0.7314821514675328,1.1753475163620995e-05,3.45477510535013e-05,0.0005494386781664
2015-02-19,0.7238361635880104,1.2031136838319503e-05,3.45477510535013e-05,0.0005867800893439
2015-02-20,0.7118002307562338,1.2307083141877202e-05,3.45477510535013e-05,0.0006197711510983
2015-02-21,0.7158501967798354,1.2558619313513312e-05,3.45477510535013e-05,0.0006268958346381
2015-02-22,0.7199001628034369,1.2804925487711256e-05,3.45477510535013e-05,0.000546145245358
2015-02-23,0.7239501288270386,1.3052769036775663e-05,4.464165010382569e-05,0.0005736534441777
2015-02-24,0.7223663192094065,1.328122867491323e-05,5.4735549154150034e-05,0.0005721718889939
2015-02-25,0.728733640253069,1.3522468058100494e-05,5.4735549154150034e-05,0.0005602343470164
2015-02-26,0.7372347195467243,1.378234907063752e-05,5.4735549154150034e-05,0.0005503822714329
2015-02-27,0.688155287430202,1.4039751227681657e-05,5.4735549154150034e-05,0.0007146014824209
2015-02-28,0.6690273038695044,1.4291492500220284e-05,5.4735549154150034e-05,0.000718706465916
2015-03-01,0.6498993203088065,1.452835988886538e-05,5.4735549154150034e-05,0.0007747515573286
2015-03-02,0.6307713367481088,1.4780024019662606e-05,5.4735549154150034e-05,0.0009207200934861
2015-03-03,0.6152857203021652,1.504945721731522e-05,5.4735549154150034e-05,0.0009776426848783
2015-03-04,0.6329952358685269,1.530258083144888e-05,5.4735549154150034e-05,0.0008963920041265
2015-03-05,0.6234176257448082,1.5529957176426952e-05,5.4735549154150034e-05,0.0009255139447039
2015-03-06,0.6144767677196479,1.576907508005947e-05,5.4735549154150034e-05,0.0008929096510731
2015-03-07,0.6028487293339188,1.601259228227968e-05,5.4735549154150034e-05,0.000926296984561
2015-03-08,0.5912206909481897,1.6265822805301114e-05,5.4735549154150034e-05,0.0009083011792684
2015-03-09,0.5795926525624606,1.652206781105293e-05,5.810105096337416e-05,0.0010522405507207
2015-03-10,0.5721622008947649,1.6772434738112827e-05,6.146655277259824e-05,0.0010725581167077
2015-03-11,0.5585963571693622,1.7031146077657545e-05,6.146655277259824e-05,0.0011161465674513
2015-03-12,0.5631527355667663,1.7277316300917537e-05,6.146655277259824e-05,0.0010970371118727
2015-03-13,0.5813167982216348,1.7511366324276796e-05,6.146655277259824e-05,0.0010119455327854
2015-03-14,0.5779065542328815,1.7749016933689377e-05,6.146655277259824e-05,0.0009793697499843
2015-03-15,0.5744963102441283,1.7981075966393254e-05,6.146655277259824e-05,0.001021910787723
2015-03-16,0.571086066255375,1.8223695082062103e-05,6.146655277259824e-05,0.001061545160777
2015-03-17,0.5787917579806282,1.845358842872728e-05,6.146655277259824e-05,0.0010135309077076
2015-03-18,0.6469092312919676,1.869201041966535e-05,6.146655277259824e-05,0.0007379198852269
2015-03-19,0.6451914198976342,1.8942519195016823e-05,6.146655277259824e-05,0.0007816027960931
2015-03-20,0.6518419634419395,1.9176070674612573e-05,6.146655277259824e-05,0.0007893502540687
2015-03-21,0.6483329496361232,1.9422617537506054e-05,6.146655277259824e-05,0.0007730812258938
2015-03-22,0.6448239358303068,1.9671192128647863e-05,6.146655277259824e-05,0.0008479621841156
2015-03-23,0.6413149220244906,1.991707014011891e-05,5.825127715369799e-05,0.0008364492807072
2015-03-24,0.6990223136668963,2.019080555029499e-05,5.5036001534797686e-05,0.000636908319637
2015-03-25,0.7005979923638451,2.048260578776733e-05,5.5036001534797686e-05,0.0006425893184384
2015-03-26,0.698526400262143,2.0744172584066995e-05,5.5036001534797686e-05,0.0006646241579333
2015-03-27,0.6996916587705974,2.102243480359519e-05,5.5036001534797686e-05,0.0006504407401465
2015-03-28,0.6962959359010503,2.129400192680956e-05,5.5036001534797686e-05,0.0007048815934113
2015-03-29,0.6929002130315032,2.1552653110245884e-05,5.5036001534797686e-05,0.0006097114360381
2015-03-30,0.689504490161956,2.180768867684092e-05,5.5036001534797686e-05,0.000655130771626
2015-03-31,0.6978676362328269,2.206030177196637e-05,5.5036001534797686e-05,0.0006239704507218
2015-04-01,0.7038609943340706,2.2300901888603188e-05,5.5036001534797686e-05,0.0006527338460171
2015-04-02,0.6837092285324413,2.255787906388741e-05,5.5036001534797686e-05,0.0007068350172255
2015-04-03,0.6845445378173992,2.282909129806517e-05,5.5036001534797686e-05,0.0007192632910589
2015-04-04,0.6853798471023571,2.308714665878633e-05,6.739362196622929e-05,0.000713365293165
2015-04-05,0.6862151563873149,2.334636451351648e-05,7.975124239766089e-05,0.0007784884919317
2015-04-06,0.6870504656722728,2.358755679587773e-05,7.975124239766089e-05,0.000730304325837
2015-04-07,0.6887819654580163,2.3825632866232343e-05,7.975124239766089e-05,0.0007084863414405
2015-04-08,0.707402662410136,2.4064856437525084e-05,7.975124239766089e-05,0.0006315010535991
2015-04-09,0.7056847741502934,2.429089317005604e-05,7.975124239766089e-05,0.000618799047002
2015-04-10,0.7352786720278479,2.453784523227771e-05,7.975124239766089e-05,0.0005470417525574
2015-04-11,0.7467347542191036,2.479377533611536e-05,7.975124239766089e-05,0.0005515713746216
2015-04-12,0.7581908364103592,2.5025811210404e-05,7.975124239766089e-05,0.000547806073183
2015-04-13,0.7696469186016148,2.5269521308712416e-05,7.975124239766089e-05,0.0004386601374996
2015-04-14,0.7845037560920265,2.5537391911150406e-05,7.975124239766089e-05,0.0003874371201463
2015-04-15,0.7736749433423178,2.577410425482526e-05,7.975124239766089e-05,0.0004315446695815
2015-04-16,0.7553388480363067,2.599893851513291e-05,7.975124239766089e-05,0.0004762751374466
2015-04-17,0.7779010160552791,2.622821924454753e-05,7.975124239766089e-05,0.0004225703819658
2015-04-18,0.7738585770577394,2.646594680352049e-05,7.975124239766089e-05,0.0004270434143529
2015-04-19,0.7698161380601997,2.671301058165663e-05,7.975124239766089e-05,0.0004199092272032
2015-04-20,0.7657736990626601,2.6980077065078564e-05,7.143766066682202e-05,0.0004390281863916
2015-04-21,0.7367543164994681,2.7248718400964213e-05,6.312407893598309e-05,0.0005394639196189
2015-04-22,0.7303162536407299,2.7516087188921338e-05,6.312407893598309e-05,0.000529149479015
2015-04-23,0.7278138171194845,2.776052944078645e-05,6.312407893598309e-05,0.0005507220974835
2015-04-24,0.7322189406921911,2.7985020829992903e-05,6.312407893598309e-05,0.0005017073734822
2015-04-25,0.7402546256196832,2.8235261127721053e-05,6.312407893598309e-05,0.0004556746230743
2015-04-26,0.7482903105471752,2.8505606889248395e-05,6.312407893598309e-05,0.0003899944551706
2015-04-27,0.7563259954746674,2.8748002922764884e-05,6.312407893598309e-05,0.0004830035492529
2015-04-28,0.7747303849111911,2.900524060065558e-05,6.312407893598309e-05,0.0004506259023186
2015-04-29,0.7721990825619445,2.9251034836327123e-05,6.312407893598309e-05,0.0004501824005238
2015-04-30,0.721437305956347,2.9478152434191888e-05,6.312407893598309e-05,0.0005477306202802
2015-05-01,0.729210900334632,2.9724860249343943e-05,6.312407893598309e-05,0.0005093605153294
2015-05-02,0.7246032352636402,2.998925413615045e-05,6.312407893598309e-05,0.000536264802939
2015-05-03,0.7199955701926486,3.0239984519956167e-05,6.312407893598309e-05,0.0005874878202923
2015-05-04,0.715387905121657,3.04795483158725e-05,6.327276622758297e-05,0.0005748425473664
2015-05-05,0.7281341712205825,3.0725634509698094e-05,6.34214535191829e-05,0.0005475041175779
2015-05-06,0.7464933053715387,3.100463422314151e-05,6.34214535191829e-05,0.0004876842211167
2015-05-07,0.7178049772749713,3.126927939077397e-05,6.34214535191829e-05,0.0005589509276993
2015-05-08,0.7024687797540133,3.1531717102641e-05,6.34214535191829e-05,0.0006205638385593
2015-05-09,0.702949894019488,3.177014148309827e-05,6.34214535191829e-05,0.0006013976493096
2015-05-10,0.7034310082849627,3.200249564231988e-05,6.34214535191829e-05,0.0005869027723079
2015-05-11,0.7039121225504374,3.225481942928816e-05,6.34214535191829e-05,0.0006044740830255
2015-05-12,0.7126268547111478,3.252652670528416e-05,6.34214535191829e-05,0.0005946031442163
2015-05-13,0.7427791540207453,3.280302294305493e-05,6.34214535191829e-05,0.0005499199064125
2015-05-14,0.745318387354833,3.308260628389736e-05,6.34214535191829e-05,0.0005551290365836
2015-05-15,0.7432485935744819,3.33519227714892e-05,6.34214535191829e-05,0.0005615082627236
2015-05-16,0.7485056811678369,3.3598001358305855e-05,6.869305878478015e-05,0.000547806073183
2015-05-17,0.7537627687611916,3.386630918573362e-05,7.396466405037739e-05,0.0005539305737792
2015-05-18,0.7590198563545465,3.414332631976097e-05,7.396466405037739e-05,0.0005192598209742
2015-05-19,0.749855110980316,3.438933936711624e-05,7.396466405037739e-05,0.0005081149664578
2015-05-20,0.7444247014724826,3.463153083250911e-05,7.396466405037739e-05,0.0005276585642153
2015-05-21,0.7374413128588063,3.48997199626248e-05,7.396466405037739e-05,0.0005401716505673
2015-05-22,0.7219525406669901,3.5160602210165424e-05,7.396466405037739e-05,0.0005873935041639
2015-05-23,0.7218142776724573,3.538219125332994e-05,7.396466405037739e-05,0.0005734646679268
2015-05-24,0.7216760146779244,3.561247682770262e-05,7.396466405037739e-05,0.0005931027258068
2015-05-25,0.7215377516833917,3.587086730259234e-05,7.396466405037739e-05,0.0005568370944698
2015-05-26,0.721399488688859,3.61230676776231e-05,7.396466405037739e-05,0.0005568936841468
2015-05-27,0.720095916073287,3.637155358377452e-05,7.396466405037739e-05,0.0005584696994532
2015-05-28,0.7210567001811831,3.661461980646876e-05,7.396466405037739e-05,0.000559649299032
