,Global averaged stocks(USD),Currency US Dollar Index,Gold/BTC Ratio,S2F Model,BTC/USD
2015-03-29,0.0644794664037059,0.3589343523396509,0.6929002130315032,2.1552653110245884e-05,0.0006097114360381
2015-03-30,0.0668582768655712,0.3679469219045503,0.689504490161956,2.180768867684092e-05,0.000655130771626
2015-03-31,0.0613531521179523,0.3828370939186682,0.6978676362328269,2.206030177196637e-05,0.0006239704507218
2015-04-01,0.0591535838155453,0.3761757247774109,0.7038609943340706,2.2300901888603188e-05,0.0006527338460171
2015-04-02,0.0607548128050385,0.346787014964014,0.6837092285324413,2.255787906388741e-05,0.0007068350172255
2015-04-03,0.0615802378193149,0.3435542389470956,0.6845445378173992,2.282909129806517e-05,0.0007192632910589
2015-04-04,0.0624056628335911,0.3403214629301772,0.6853798471023571,2.308714665878633e-05,0.000713365293165
2015-04-05,0.0632310878478674,0.3370886869132588,0.6862151563873149,2.334636451351648e-05,0.0007784884919317
2015-04-06,0.0640565128621437,0.3338559108963403,0.6870504656722728,2.358755679587773e-05,0.000730304325837
2015-04-07,0.0637771970681865,0.3620691201503869,0.6887819654580163,2.3825632866232343e-05,0.0007084863414405
2015-04-08,0.0652871582058166,0.3714734235825982,0.707402662410136,2.4064856437525084e-05,0.0006315010535991
2015-04-09,0.0670711189865674,0.4141851706359243,0.7056847741502934,2.429089317005604e-05,0.000618799047002
2015-04-10,0.0697559494590925,0.4231975408958797,0.7352786720278479,2.453784523227771e-05,0.0005470417525574
2015-04-11,0.0690989727119508,0.4245036858459814,0.7467347542191036,2.479377533611536e-05,0.0005515713746216
2015-04-12,0.0684419959648091,0.4258098307960813,0.7581908364103592,2.5025811210404e-05,0.000547806073183
2015-04-13,0.0677850192176674,0.4271159757461822,0.7696469186016148,2.5269521308712416e-05,0.0004386601374996
2015-04-14,0.0688715402261586,0.3985111322772967,0.7845037560920265,2.5537391911150406e-05,0.0003874371201463
2015-04-15,0.071317655917366,0.3816615933593184,0.7736749433423178,2.577410425482526e-05,0.0004315446695815
2015-04-16,0.0710929940757599,0.3460031486195052,0.7553388480363067,2.599893851513291e-05,0.0004762751374466
