,Currency US Dollar Index,Gold/BTC Ratio,S2F Model,Onchain Mining Difficulty,BTC/USD
2015-05-17,0.2047240984804458,0.7532665821778174,3.386762568316419e-05,6.951456231484063e-05,0.0005373483349894
2015-05-18,0.2257291999729169,0.7578636543241264,3.412088203110578e-05,7.045810814054675e-05,0.0005462439059744
2015-05-19,0.2436044806987838,0.7495778828606973,3.4374903794088153e-05,7.146661964436735e-05,0.0005532142955941
2015-05-20,0.2569638585983075,0.7446339928293757,3.462993784235316e-05,7.254093674049255e-05,0.0005578065965716
2015-05-21,0.2731925212425711,0.7372821076223018,3.488181625168444e-05,7.363847319568484e-05,0.0005667411489854
2015-05-22,0.2948409612011651,0.7226955299796107,3.513151696566647e-05,7.476786434726749e-05,0.0005783109130944
2015-05-23,0.3100769889338959,0.7212694803550224,3.538181704742447e-05,7.544131987007898e-05,0.0005824015550135
2015-05-24,0.3211468535887984,0.7212106380784922,3.5632401369679145e-05,7.56016389699761e-05,0.000578864214129
2015-05-25,0.3288107682996271,0.7215482026288075,3.588254786368736e-05,7.548083878760693e-05,0.0005713390051498
2015-05-26,0.3312237008522972,0.7209597610570885,3.613282708390255e-05,7.493363488713413e-05,0.000557197734397
2015-05-27,0.33254767182654,0.7207998288940347,3.6380462364371054e-05,7.422520966375755e-05,0.0005440430980747
2015-05-28,0.3324755479194857,0.7209745752261768,3.662527609858748e-05,7.336250242298946e-05,0.0005321737690825
2015-05-29,0.331775287514219,0.7240315899573881,3.686905634978557e-05,7.20778093703031e-05,0.0005155229972605
2015-05-30,0.3314343244794915,0.7387209495965056,3.711113260814315e-05,7.041529606964113e-05,0.0004956501151118
2015-05-31,0.3286276823236372,0.7525989084875448,3.736058637509913e-05,6.908300220050424e-05,0.000480844013745
2015-06-01,0.3238292130895367,0.7674458056589909,3.761846381203185e-05,6.81041616825581e-05,0.0004711578069853
2015-06-02,0.2948950783905352,0.7620081820781366,3.78799735984915e-05,6.716190099615555e-05,0.0004636991332877
2015-06-03,0.2900270945089733,0.7555916156956948,3.8147737872872136e-05,6.643765840156638e-05,0.0004605992850944
2015-06-04,0.2835983366068761,0.7541015521015617,3.841690150711036e-05,6.543518217105672e-05,0.0004554145699289
2015-06-05,0.2942673095682013,0.748771103912114,3.868716327771997e-05,6.411898373516325e-05,0.0004478877301589
2015-06-06,0.28958094339098,0.74550622704909,3.896330485247693e-05,6.288772824918444e-05,0.0004430643549085
2015-06-07,0.2718632581623678,0.7424607116914604,3.924440422996552e-05,6.163124133841374e-05,0.0004396061384623
2015-06-08,0.2630621233774003,0.7405579431765708,3.951948689184813e-05,6.128492018366176e-05,0.0004417314991361
2015-06-09,0.2585096972636497,0.7407563586305358,3.978822589413697e-05,6.199249748813539e-05,0.0004505160069254
2015-06-10,0.2522931793104907,0.7464618984568261,4.00553146046339e-05,6.324049531933695e-05,0.0004631224548352
2015-06-11,0.2474101820582388,0.7408179295490496,4.031792630332252e-05,6.531556723926036e-05,0.0004809949353038
2015-06-12,0.2434816211761731,0.7384996009249546,4.058378878633672e-05,6.778039079899316e-05,0.0005031092041357
2015-06-13,0.2403034603980795,0.732403810134481,4.085338787079999e-05,7.061589999265171e-05,0.0005294364196592
2015-06-14,0.2397681652122712,0.7266210641032674,4.112048658955423e-05,7.430808913757226e-05,0.0005619044115349
2015-06-15,0.241985629353608,0.7208656988993162,4.138675947668917e-05,7.878652256019004e-05,0.0006004740515242
2015-06-16,0.2395899022568441,0.6788368403909384,4.1652197331814646e-05,8.178607952403083e-05,0.0006268206374224
2015-06-17,0.2324073681520251,0.6806933991809173,4.1916025659840765e-05,8.31689947896732e-05,0.0006395755476698
2015-06-18,0.2258143768914183,0.6948029111948015,4.217937305640466e-05,8.397835482292e-05,0.0006475244461661
2015-06-19,0.2182024770968564,0.7067225385443375,4.244198841529778e-05,8.36038142877957e-05,0.0006456448910852
2015-06-20,0.2170075600824588,0.7014652782895121,4.270227782574177e-05,8.350739853493788e-05,0.0006452274576451
2015-06-21,0.2235790059329654,0.6954648623561651,4.29602152199253e-05,8.377799005875097e-05,0.0006469733278402
2015-06-22,0.2333298217158357,0.6910826292649335,4.321627303265966e-05,8.315706701780853e-05,0.0006408567794372
2015-06-23,0.2485709867004532,0.6937660819548186,4.347002600687423e-05,8.194814689344913e-05,0.000629184388965
2015-06-24,0.2573739264506671,0.7018644496058031,4.372753337859333e-05,8.12744284281508e-05,0.0006268750637699
2015-06-25,0.2586031828912125,0.6953653435926741,4.398930772592647e-05,8.107540708494768e-05,0.0006339976246954
