,Global averaged stocks(USD),Currency US Dollar Index,Volatility_CBOE SKEW Index,Gold/BTC Ratio,BTC Volume,S2F Model,Onchain Hash Rate (GH/s),Onchain Mining Difficulty,BTC/USD
2015-01-29,0.0474416136839531,0.2371371236731378,0.3029506472759699,0.7746295678849356,7.876025250400871e-05,6.698836477026356e-06,9.052054949169708e-05,1.2806923770050087e-05,0.0005612525244734
2015-01-30,0.0446398988002683,0.2342912341855344,0.2423832706758834,0.813503721328331,7.901367133125558e-05,6.942201901920767e-06,9.74769768919648e-05,7.047719271224499e-06,0.0005053984612746
2015-01-31,0.0439477016086566,0.2313611673892514,0.2434031978206216,0.8005903110125631,7.76651267892717e-05,7.188277921495722e-06,0.000101512143991,3.550234163565174e-06,0.00047146088829
2015-02-01,0.0453898561844305,0.2276755867489521,0.2408692628712552,0.7859481666075122,7.491484850770706e-05,7.439517992141762e-06,0.0001023433498371,2.6410994313669365e-06,0.0004564767995311
2015-02-02,0.0479211809548731,0.2238175363780553,0.2382313024934568,0.7728769663310495,7.109581188774216e-05,7.69075373881438e-06,0.0001016453144872,2.701484316105585e-06,0.0004519486251647
2015-02-03,0.0522293014778719,0.2200012251661693,0.237549270985722,0.7983854678845627,6.571283846305337e-05,7.942800037953896e-06,9.835908395898802e-05,4.612788379531381e-06,0.0004666436886555
2015-02-04,0.0548771831440518,0.2233629204682123,0.2393069448234207,0.8030664576643453,6.08949692128524e-05,8.199819776409721e-06,9.488729010056254e-05,6.660509420243746e-06,0.0004644421883074
2015-02-05,0.0556109452651493,0.2348921388803077,0.2427009711666302,0.8367269125275051,5.668162145866988e-05,8.46136811040063e-06,9.133043200431224e-05,8.731424304372495e-06,0.0004441046853693
2015-02-06,0.0566989450669157,0.2381143158045433,0.2488062954878744,0.8003733165730128,5.1597272310587525e-05,8.726161176257927e-06,8.554047122130674e-05,1.2465557972086492e-05,0.0004307628356154
2015-02-07,0.057296604816051,0.2339113105664387,0.2575059562057847,0.805153656668913,4.608744400418891e-05,8.995019269179976e-06,7.79794168343002e-05,1.752636867416532e-05,0.0004165597741961
2015-02-08,0.0584267574494827,0.2341357383928481,0.2615184550098696,0.8083463093053913,4.309316482659161e-05,9.257209593278491e-06,7.499021769794658e-05,2.0971764257177e-05,0.0004112289103252
2015-02-09,0.0603381238789067,0.2359310837350051,0.2602924103958317,0.8118666604809359,4.275883684313696e-05,9.511714358436904e-06,7.689085442422606e-05,2.2762174796648056e-05,0.0004182894213278
2015-02-10,0.0618607376124106,0.2347894825330638,0.2570986624118488,0.8076203171999913,4.401797451417928e-05,9.764221957413429e-06,8.096056708737407e-05,2.4098140865802657e-05,0.0004275309284252
2015-02-11,0.0632643207962716,0.2319857834050702,0.249909857546086,0.8018547182840517,4.768930509753695e-05,1.0011762083132124e-05,8.890260166119088e-05,2.4239237365473606e-05,0.0004422806614179
2015-02-12,0.0643801793699805,0.221774249603691,0.2451693465733622,0.7929505532843202,5.168748066063776e-05,1.026002805551895e-05,9.643811353655233e-05,2.5349369894509293e-05,0.0004633327126756
2015-02-13,0.065027770964624,0.2254161950801965,0.2432769637214975,0.7521498604744227,5.5972042616524335e-05,1.0509461947384364e-05,0.0001033489056266,2.756419768798742e-05,0.0004899619154891
2015-02-14,0.0654756741678461,0.2218004737843122,0.2394350679215848,0.7419771203299703,6.232839369201927e-05,1.075462461109088e-05,0.0001132542686352,2.9189286015775637e-05,0.0005248146477815
2015-02-15,0.0656136137496202,0.219325723766065,0.2350934879580236,0.7328809715854264,7.036946363811868e-05,1.0996669998058511e-05,0.0001252794226899,3.070102049489277e-05,0.0005681257014425
