,BTC/USD
2015-01-01,0.0010775663035957187
2015-01-02,0.0010789997477816337
2015-01-03,0.0010818231616533754
2015-01-04,0.0010861826405677625
2015-01-05,0.0010894825087587447
2015-01-06,0.0010924456948102701
2015-01-07,0.0010687067272568604
2015-01-08,0.0010152421011763535
2015-01-09,0.0009448621760839201
2015-01-10,0.0008497926692835069
2015-01-11,0.0007444285436501792
2015-01-12,0.0006292748047227705
2015-01-13,0.0004899730999264858
2015-01-14,0.0003290170825008895
2015-01-15,0.00023122795741986713
2015-01-16,0.0002027510418759285
2015-01-17,0.00020486230651334378
2015-01-18,0.000261007733174204
2015-01-19,0.0003179169054823537
2015-01-20,0.0003728901146574458
2015-01-21,0.0004732690610798704
2015-01-22,0.0006085105869750241
2015-01-23,0.0006857377986748825
2015-01-24,0.000702543935233737
2015-01-25,0.0006964615560466855
2015-01-26,0.0006434224660999024
2015-01-27,0.0006103989365818488
2015-01-28,0.0006009836459629236
2015-01-29,0.0005612525244734437
2015-01-30,0.0005053984612746139
2015-01-31,0.0004714608882900023
2015-02-01,0.00045647679953118094
2015-02-02,0.00045194862516472725
2015-02-03,0.00046664368865558534
2015-02-04,0.000464442188307465
2015-02-05,0.0004441046853693812
2015-02-06,0.0004307628356154238
2015-02-07,0.0004165597741961432
2015-02-08,0.0004112289103252012
2015-02-09,0.00041828942132787474
2015-02-10,0.0004275309284252352
2015-02-11,0.00044228066141798465
2015-02-12,0.00046333271267569526
2015-02-13,0.0004899619154891896
2015-02-14,0.0005248146477815267
2015-02-15,0.0005681257014425735
2015-02-16,0.000595791542961699
2015-02-17,0.0006061746437124959
2015-02-18,0.0006110447782155775
2015-02-19,0.0006039235746147288
2015-02-20,0.0005994083617518565
2015-02-21,0.0005985357016382251
2015-02-22,0.0005884430573601712
2015-02-23,0.0005721976361940695
2015-02-24,0.0005739783866148013
2015-02-25,0.0005944601251487335
2015-02-26,0.0006242263774944366
2015-02-27,0.0006696217416747824
2015-02-28,0.0007133483609729897
2015-03-01,0.0007546317783274288
2015-03-02,0.0008075947558879003
2015-03-03,0.0008686850028367384
2015-03-04,0.0009153722686532346
2015-03-05,0.0009472406273420003
2015-03-06,0.0009726088031038381
2015-03-07,0.0009856073927312235
2015-03-08,0.0010030742389292207
2015-03-09,0.0010257111997378917
2015-03-10,0.001040046561783141
